time (s)	det(V)
5310.966836	1.625613	
5310.968367	1.625947	
5310.970093	1.625854	
5310.971636	1.625927	
5310.973331	1.625923	
5310.974892	1.625923	
5310.976568	1.625927	
5310.978125	1.626003	
5310.979775	1.625971	
5310.981349	1.625923	
5310.982969	1.625858	
5310.984588	1.625979	
5310.986194	1.626036	
5310.987857	1.625967	
5310.989445	1.626120	
5310.991094	1.625890	
5310.992700	1.626092	
5310.994343	1.625967	
5310.995919	1.625979	
5310.997617	1.626011	
5310.999161	1.625999	
5311.000866	1.625927	
5311.002401	1.625991	
5311.004103	1.626116	
5311.005628	1.626168	
5311.007376	1.625975	
5311.008862	1.625975	
5311.010618	1.626011	
5311.012096	1.626044	
5311.013901	1.626189	
5311.015382	1.626084	
5311.017158	1.626132	
5311.018633	1.626003	
5311.020396	1.626052	
5311.021894	1.626068	
5311.023651	1.626104	
5311.025162	1.626076	
5311.026879	1.626096	
5311.028405	1.626035	
5311.030136	1.626015	
5311.031666	1.626032	
5311.033365	1.626108	
5311.034913	1.625943	
5311.036572	1.626068	
5311.038152	1.625858	
5311.039819	1.626108	
5311.041411	1.626015	
5311.043062	1.626168	
5311.044653	1.626007	
5311.046282	1.626056	
5311.047893	1.626040	
5311.049500	1.626148	
5311.051182	1.626084	
5311.052761	1.626124	
5311.054437	1.626052	
5311.056042	1.626193	
5311.057701	1.626088	
5311.059274	1.626076	
5311.060958	1.625979	
5311.062500	1.626043	
5311.064220	1.626140	
5311.065692	1.626068	
5311.067265	1.626068	
5311.068773	1.626096	
5311.070304	1.626060	
5311.071829	1.625999	
5311.073379	1.626112	
5311.074944	1.626007	
5311.076444	1.626060	
5311.078096	1.625983	
5311.079578	1.625951	
5311.081202	1.626011	
5311.082715	1.626035	
5311.084342	1.626080	
5311.085816	1.626011	
5311.087446	1.626060	
5311.088924	1.626056	
5311.090556	1.626084	
5311.092036	1.626092	
5311.093726	1.626031	
5311.095214	1.626047	
5311.096875	1.626044	
5311.098417	1.626068	
5311.100029	1.626096	
5311.101596	1.626003	
5311.103198	1.626040	
5311.104774	1.626007	
5311.106338	1.626032	
5311.107933	1.625931	
5311.109466	1.626060	
5311.111141	1.626040	
5311.112731	1.626031	
5311.114386	1.625886	
5311.115943	1.626136	
5311.117641	1.626100	
5311.119190	1.626189	
5311.120897	1.625919	
5311.122442	1.626031	
5311.124135	1.625927	
5311.125668	1.626168	
5311.127398	1.626052	
5311.128897	1.626007	
5311.130658	1.626056	
5311.132145	1.626100	
5311.133927	1.626048	
5311.135411	1.626072	
5311.137187	1.626056	
