crossing time (s)	slope (V/s)	crossing number
2823.437049	-100.033015	2127
2824.435878	-118.086613	2128
2825.517485	-105.238260	2129
2826.464019	-102.108462	2130
2827.536275	-111.989314	2131
2828.519629	-101.156658	2132
2829.584039	-101.397511	2133
2830.577180	-100.183537	2134
2831.619195	-97.673100	2135
2832.624668	-91.686551	2136
2833.677000	-92.254710	2137
2834.665398	-86.682379	2138
2835.725780	-85.140621	2139
2836.695629	-82.192761	2140
2837.764668	-79.675883	2141
2838.747009	-72.442869	2142
2839.806389	-74.899215	2143
2840.789635	-67.128824	2144
2841.869478	-72.060103	2145
2842.847732	-65.868698	2146
2843.908571	-68.847491	2147
2844.908572	-62.902966	2148
2845.964086	-63.739028	2149
2846.935440	-60.276824	2150
2847.991871	-60.605674	2151
2848.965285	-56.196650	2152
2850.035603	-57.623812	2153
2851.034370	-51.352290	2154
2852.101653	-53.935707	2155
2853.061685	-48.293637	2156
2854.130762	-51.537314	2157
2855.105578	-45.339574	2158
2856.195099	-46.364972	2159
2857.145941	-41.162619	2160
2858.231666	-45.869925	2161
2859.209396	-40.851592	2162
2860.266088	-42.025609	2163
2861.243981	-38.841596	2164
2862.318466	-39.633572	2165
2863.295846	-35.663129	2166
2864.380956	-36.372201	2167
2865.310336	-33.935910	2168
2866.433719	-33.791036	2169
2867.382316	-31.631462	2170
2868.480400	-32.552542	2171
2869.436066	-28.191090	2172
2870.512239	-29.337283	2173
2871.475186	-26.920810	2174
2872.556470	-28.683493	2175
2873.532849	-24.510315	2176
2874.596090	-26.109339	2177
2875.561285	-24.000845	2178
2876.613238	-24.675017	2179
2877.605922	-23.184114	2180
2878.685991	-22.982314	2181
2879.652369	-20.391555	2182
2880.744083	-21.811175	2183
2881.690527	-18.878776	2184
2882.763824	-20.361008	2185
2883.732523	-17.646043	2186
2884.830373	-19.755921	2187
2885.764544	-17.594003	2188
2886.875533	-18.166383	2189
2887.832169	-16.019836	2190
2888.931481	-16.925192	2191
2889.849892	-15.082892	2192
2890.973742	-15.511749	2193
2891.905855	-13.712469	2194
2893.014675	-14.132851	2195
2893.963750	-12.785989	2196
2895.062305	-14.137022	2197
2895.998949	-12.195617	2198
2897.103100	-12.112229	2199
2898.067255	-11.485120	2200
2899.150073	-12.348590	2201
2900.105806	-12.053757	2202
2901.205709	-11.915344	2203
2902.131543	-9.178649	2204
2903.237027	-10.994152	2205
2904.163957	-9.739488	2206
2905.297903	-9.920820	2207
2906.211874	-8.794631	2208
2907.349223	-8.593459	2209
2908.246694	-8.362321	2210
2909.404929	-8.424823	2211
2910.288407	-7.112274	2212
2911.440387	-6.716391	2213
2912.323822	-4.754041	2214
2913.489576	-6.926670	2215
2914.362955	-5.584260	2216
2915.554360	-6.311598	2217
2916.450210	-4.792328	2218
2917.578161	-5.103528	2219
2918.465664	-4.655923	2220
2919.615562	-6.900895	2221
2920.529041	-4.870944	2222
2921.657900	-5.202978	2223
