crossing time (s)	slope (V/s)	crossing number
5733.458651	-46.380119	4824
5734.373746	-60.608231	4825
5735.474068	-57.528456	4826
5736.412034	-59.372334	4827
5737.563456	-52.331618	4828
5738.447122	-48.621962	4829
5739.583521	-32.217692	4830
5740.490880	-35.712095	4831
5741.650369	-41.740318	4832
5742.548502	-33.865410	4833
5743.670143	-28.531335	4834
5744.601051	-25.528443	4835
5745.745432	-30.101155	4836
5746.604575	-23.811342	4837
5747.772538	-25.802139	4838
5748.673587	-23.408013	4839
5749.839259	-20.489595	4840
5750.699261	-19.918613	4841
5751.881572	-20.844211	4842
5752.731394	-17.510126	4843
5753.913495	-13.187742	4844
5754.790501	-16.631838	4845
5755.992256	-13.793071	4846
5756.814802	-14.087198	4847
5758.019987	-11.571429	4848
5758.864982	-11.379722	4849
5760.084969	-10.258785	4850
5760.886603	-9.619076	4851
5762.130405	-8.567606	4852
5762.921429	-9.256955	4853
5764.184739	-7.999730	4854
5764.972905	-6.909079	4855
5766.227052	-7.414836	4856
5767.023351	-6.811167	4857
5768.281177	-6.260612	4858
5769.059678	-6.140696	4859
5770.351596	-4.902524	4860
5771.084454	-4.954221	4861
5772.407300	-4.344995	4862
5773.131976	-3.299534	4863
5774.458035	-2.328469	4864
