crossing time (s)	slope (V/s)	crossing number
2513.392116	-95.248010	1758
2514.356900	-81.156008	1759
2515.449507	-92.893759	1760
2516.431192	-87.780837	1761
2517.479609	-95.068546	1762
2518.450321	-73.738457	1763
2519.535074	-84.830741	1764
2520.506701	-63.249388	1765
2521.543483	-77.409755	1766
2522.573182	-63.124200	1767
2523.616267	-68.785397	1768
2524.602217	-65.350610	1769
2525.676265	-63.197666	1770
2526.617530	-57.368715	1771
2527.715828	-60.330720	1772
2528.687228	-47.299508	1773
2529.766848	-56.838191	1774
2530.760927	-43.453801	1775
2531.791375	-50.689723	1776
2532.789568	-44.126718	1777
2533.864606	-45.531373	1778
2534.817561	-42.039273	1779
2535.936177	-43.652992	1780
2536.870163	-35.521653	1781
2537.969082	-39.805576	1782
2538.899785	-31.926403	1783
2540.013699	-36.331591	1784
2540.959031	-29.031321	1785
2542.070905	-33.383506	1786
2543.005878	-28.336136	1787
2544.103546	-27.527201	1788
2545.058127	-28.023031	1789
2546.150971	-24.980185	1790
2547.118650	-22.341547	1791
2548.185941	-26.040480	1792
2549.151395	-21.423508	1793
2550.250422	-20.873780	1794
2551.201190	-19.618867	1795
2552.281004	-23.517382	1796
2553.226569	-19.186897	1797
2554.367587	-20.632513	1798
2555.259709	-17.591567	1799
2556.383505	-18.095244	1800
2557.340874	-14.212751	1801
2558.414388	-16.940990	1802
2559.395456	-14.198184	1803
2560.459709	-15.467802	1804
2561.430887	-11.290071	1805
2562.519877	-14.031786	1806
2563.479985	-11.058185	1807
2564.570936	-13.382986	1808
2565.511646	-9.614228	1809
2566.624707	-11.699316	1810
2567.570086	-9.397054	1811
2568.659881	-11.401928	1812
