time (s)	magX	magY	magZ
2514.067747	376.922272	322.333740	432.221497
2514.071064	376.630035	324.554657	429.416107
2514.074355	376.279358	326.483337	426.435394
2514.077684	375.811798	328.938049	423.980713
2514.081013	375.344238	331.334290	421.642883
2514.083925	375.052032	333.438354	418.603699
2514.087262	374.350677	335.542358	415.739899
2514.090591	374.292236	338.873779	412.700745
2514.093924	373.883118	341.328461	409.778473
2514.097257	373.532440	343.607819	405.862640
2514.100591	373.415558	345.887207	402.648132
2514.103925	373.707764	348.575684	399.141418
2514.107254	373.123322	351.848633	395.400909
2514.110587	372.714203	354.244904	391.718872
2514.113934	371.779083	356.816467	387.744568
2514.117261	372.129761	359.914093	384.880737
2514.120582	371.311523	362.427246	380.672699
2514.123917	371.136169	365.115723	375.704834
2514.127259	371.369965	367.979553	371.672119
2514.130587	370.843964	370.492706	367.464050
2514.133913	369.850372	373.707184	362.729980
2514.137251	369.499695	376.512573	358.521912
2514.140591	368.739929	379.142609	354.839844
2514.143919	367.629456	381.655762	348.761536
2514.147254	366.752777	384.928711	344.319672
2514.150583	365.700775	388.376984	338.475159
2514.153913	365.057861	390.948578	334.091736
2514.157262	363.655182	393.520172	329.357666
2514.160583	361.901825	396.150208	323.863800
2514.163914	360.849792	399.189362	317.902405
2514.167251	359.154877	401.644073	311.707153
2514.170582	357.576843	404.274109	306.330200
2514.173916	356.115723	407.722412	300.018127
2514.177247	353.368805	410.761536	294.173553
2514.180590	351.440094	413.157806	288.270569
2514.183914	349.219177	415.904724	282.016937
2514.187248	346.530701	418.242554	274.243713
2514.190581	343.959106	421.281708	266.821136
2514.195240	338.640564	425.431335	251.742218
2514.198551	335.426056	428.002930	244.904114
2514.201450	332.854462	430.165405	236.838654
2514.204838	330.399780	432.152557	228.480988
2514.208164	327.594391	434.548798	220.707764
2514.211496	324.613678	436.068390	212.174744
2514.214757	321.691406	437.704834	204.459930
2514.218084	318.652252	438.873779	195.342468
2514.221006	315.963776	439.867340	185.640533
2514.224332	312.457031	440.860901	176.873749
2514.227662	309.300995	441.971375	166.762695
2514.231006	306.261841	442.438934	156.768555
2514.234356	303.164246	442.672699	147.767944
2514.237724	300.125061	443.023407	137.715363
2514.240577	296.326111	442.438934	127.779663
2514.243944	292.819397	442.672699	117.084167
2514.247249	289.020447	441.562256	106.154846
2514.250576	285.279968	441.386902	96.394470
