crossing time (s)	slope (V/s)	crossing number
3371.695096	-123.467973	2755
3372.684316	-103.742786	2756
3373.750715	-113.383283	2757
3374.721024	-112.770213	2758
3375.777995	-112.947025	2759
3376.765566	-100.194398	2760
3377.835936	-113.354780	2761
3378.829830	-107.323965	2762
3379.862801	-111.925351	2763
3380.859516	-103.645506	2764
3381.915169	-109.584409	2765
3382.917249	-95.273766	2766
3383.977876	-101.424890	2767
3384.934524	-92.388812	2768
3386.021778	-95.196416	2769
3386.965825	-90.267706	2770
3388.054139	-97.474607	2771
3389.017153	-86.514246	2772
3390.095080	-88.275061	2773
3391.047404	-78.103020	2774
3392.169527	-89.089836	2775
3393.133107	-79.937143	2776
3394.182478	-84.543015	2777
3395.151524	-75.536712	2778
3396.243461	-80.229663	2779
3397.177428	-74.272500	2780
3398.279117	-82.402225	2781
3399.248108	-71.245359	2782
3400.283295	-77.038576	2783
3401.271169	-64.621194	2784
3402.393584	-72.671150	2785
3403.320131	-62.127503	2786
3404.415622	-70.800680	2787
3405.365292	-61.641144	2788
3406.470888	-67.478206	2789
3407.422411	-56.983422	2790
3408.487645	-65.766839	2791
3409.468938	-55.576731	2792
3410.529814	-61.917964	2793
3411.524510	-58.520794	2794
3412.586771	-58.977030	2795
3413.550135	-53.330311	2796
3414.656348	-56.595382	2797
3415.601949	-45.410376	2798
3416.678139	-56.809478	2799
3417.637733	-49.988335	2800
3418.716318	-51.470537	2801
3419.666830	-47.274670	2802
3420.794431	-49.445957	2803
3421.702907	-40.309098	2804
3422.814990	-50.390912	2805
3423.762269	-41.071771	2806
3424.839469	-46.134663	2807
3425.856106	-41.437933	2808
3426.878907	-46.153877	2809
3427.871338	-38.616909	2810
3428.944406	-42.648602	2811
3429.917687	-37.589677	2812
3430.985070	-40.559739	2813
3431.968360	-33.991672	2814
3433.020723	-39.090860	2815
3433.981097	-32.817390	2816
3435.096554	-37.385333	2817
3436.010733	-32.185612	2818
3437.118185	-36.816199	2819
3438.083225	-31.536795	2820
3439.150371	-35.831442	2821
3440.123602	-27.809303	2822
3441.247790	-31.837943	2823
3442.142962	-27.358201	2824
3443.276161	-31.397146	2825
3444.186554	-27.243985	2826
3445.324317	-30.173046	2827
3446.240407	-27.334581	2828
3447.353395	-30.125784	2829
3448.275088	-26.433987	2830
3449.380196	-28.526751	2831
3450.324778	-24.136726	2832
3451.444937	-27.216532	2833
3452.359902	-23.322883	2834
3453.505706	-24.318867	2835
3454.392177	-21.709444	2836
3455.534338	-24.814690	2837
3456.434852	-18.281254	2838
3457.569174	-23.611288	2839
3458.497690	-19.364928	2840
3459.590806	-23.148145	2841
3460.579293	-20.235104	2842
3461.662988	-20.968725	2843
3462.595753	-18.112348	2844
3463.735282	-20.185700	2845
3464.609949	-15.797934	2846
3465.761197	-19.984808	2847
3466.647063	-14.607442	2848
3467.777075	-19.937539	2849
3468.716134	-13.858584	2850
3469.838196	-17.710589	2851
3470.763001	-14.975438	2852
3471.869424	-17.307689	2853
3472.814831	-12.723878	2854
3473.924911	-16.596417	2855
3474.837131	-12.763120	2856
3475.984003	-16.015024	2857
3476.858859	-12.461192	2858
3478.055966	-13.891500	2859
3478.881504	-12.581131	2860
3480.097531	-14.654846	2861
3480.949846	-12.833063	2862
3482.098981	-14.137006	2863
3483.023861	-10.828830	2864
3484.132057	-12.937916	2865
3485.076471	-11.375345	2866
3486.186149	-11.879904	2867
3487.103873	-8.492973	2868
3488.252000	-10.918494	2869
3489.103495	-8.353074	2870
3490.324858	-12.063687	2871
3491.138002	-10.865468	2872
3492.346310	-8.788704	2873
3493.176448	-8.822450	2874
3494.389388	-8.967546	2875
3495.220381	-5.887989	2876
3496.459388	-8.343171	2877
3497.249480	-6.809621	2878
3498.456126	-11.097428	2879
