time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3873.262742	170.126602	-0.031442	0.100000	21
3875.308681	77.451012	2.061266	-0.100000	23
3877.344533	78.508499	2.041466	-0.100000	25
3879.393683	77.525208	2.024678	-0.100000	27
3881.433451	77.540649	2.009741	-0.100000	29
3883.479913	77.712440	1.985052	-0.100000	31
3885.522631	76.883606	1.965745	-0.100000	33
3887.568844	76.544861	1.903443	-0.100000	35
3889.621678	79.305077	1.898599	-0.100000	37
3891.658184	69.258011	1.830187	-0.100000	39
3893.703482	77.411087	1.872391	-0.100000	41
3895.754640	78.970123	1.823616	-0.100000	43
3897.794568	69.739914	1.748651	-0.100000	45
3899.834888	76.458733	1.790529	-0.100000	47
3901.889368	79.125755	1.751863	-0.100000	49
3903.921348	68.852699	1.718608	-0.100000	51
3905.976229	70.601921	1.667034	-0.100000	53
3908.021350	70.408043	1.672277	-0.100000	55
3910.063168	78.397362	1.671266	-0.100000	57
3912.109189	74.341606	1.632817	-0.100000	59
3914.155663	73.719017	1.599406	-0.100000	61
3916.189304	77.429550	1.583567	-0.100000	63
3918.237528	69.639145	1.561381	-0.100000	65
3920.283516	75.039673	1.538592	-0.100000	67
3922.324240	69.891479	1.520119	-0.100000	69
3924.371672	75.106956	1.498159	-0.100000	71
3926.411353	75.389587	1.488257	-0.100000	73
3928.465099	75.147247	1.444530	-0.100000	75
3930.495852	74.899437	1.474999	-0.100000	77
3932.543104	74.629196	1.454248	-0.100000	79
3934.593467	76.264252	1.410225	-0.100000	81
3936.639482	76.392052	1.395351	-0.100000	83
3938.677895	75.771210	1.389739	-0.100000	85
3940.715655	75.178017	1.368360	-0.013379	87
3942.768974	77.777122	1.291685	0.100000	89
3944.819058	77.403938	1.326912	0.100000	91
3946.848896	74.902824	1.303836	0.100000	93
3948.906702	78.467682	1.244618	0.100000	95
3950.948191	76.936218	1.287359	0.100000	97
3952.980744	74.721169	1.254247	0.100000	99
3955.033109	77.329277	1.202011	0.100000	101
3957.086503	78.860588	1.190714	0.100000	103
3959.131969	79.350677	1.183686	0.100000	105
3961.176126	79.624184	1.179553	0.100000	107
3963.219723	80.138725	1.157522	0.100000	109
3965.258940	77.266312	1.134454	0.100000	111
3967.290457	80.246155	1.134551	0.100000	113
3969.330986	76.327698	1.136914	0.100000	115
3971.395189	79.424072	1.106102	0.100000	117
3973.435311	78.205276	1.090913	0.100000	119
3975.461678	80.871925	1.076470	0.100000	121
3977.511877	78.484146	1.063634	0.100000	123
3979.572696	79.743767	1.053233	0.100000	125
3981.618903	77.548615	1.024592	0.100000	127
3983.661995	80.673622	1.011235	0.100000	129
3985.706129	81.080414	1.000128	0.100000	131
3987.752549	80.629654	1.003237	0.100000	133
3989.783415	78.590820	1.014031	0.100000	135
3991.813481	75.781532	0.989427	0.100000	137
3993.867266	76.341698	0.939442	0.100000	139
3995.928111	80.007927	0.927425	0.100000	141
3997.969875	78.940269	0.938459	0.100000	143
