crossing time (s)	slope (V/s)	crossing number
3873.276369	-97.696872	3349
3874.225509	-107.522599	3350
3875.298529	-85.367882	3351
3876.300769	-91.059118	3352
3877.349020	-81.953569	3353
3878.327075	-88.863379	3354
3879.426118	-84.526371	3355
3880.359632	-89.996058	3356
3881.415846	-80.896938	3357
3882.427458	-89.840731	3358
3883.510254	-74.501283	3359
3884.497210	-85.985872	3360
3885.518693	-75.966322	3361
3886.535243	-82.470579	3362
3887.555846	-76.084515	3363
3888.550110	-78.514085	3364
3889.585659	-71.765735	3365
3890.597767	-71.546640	3366
3891.668253	-66.453592	3367
3892.637109	-71.459625	3368
3893.689785	-64.254458	3369
3894.728736	-72.582903	3370
3895.754586	-63.378378	3371
3896.736235	-64.636763	3372
3897.790418	-62.605580	3373
3898.804697	-62.962123	3374
3899.836887	-58.971196	3375
3900.833580	-64.471963	3376
3901.881931	-56.235205	3377
3902.870363	-57.350907	3378
3903.957776	-55.829493	3379
3904.914930	-58.520418	3380
3905.983487	-55.150225	3381
3906.946888	-55.573208	3382
3908.031096	-52.384842	3383
3909.005964	-53.281280	3384
3910.058262	-49.737840	3385
3911.055370	-50.591908	3386
3912.113014	-47.848770	3387
3913.077199	-49.828002	3388
3914.177487	-46.436244	3389
3915.113711	-48.522996	3390
3916.206136	-45.828620	3391
3917.161730	-45.426549	3392
3918.225880	-41.061780	3393
3919.213324	-44.711608	3394
3920.285840	-44.089782	3395
3921.265505	-43.168874	3396
3922.329236	-39.570122	3397
3923.286316	-41.695666	3398
3924.379769	-40.870578	3399
3925.346599	-39.363914	3400
3926.421320	-37.240455	3401
3927.364951	-38.312524	3402
3928.463534	-37.030614	3403
3929.426589	-35.964817	3404
3930.496843	-36.099899	3405
3931.489119	-35.410086	3406
3932.559261	-33.450327	3407
3933.536704	-34.690195	3408
3934.611828	-31.986592	3409
3935.570517	-32.415581	3410
3936.622719	-32.479713	3411
3937.612947	-31.161629	3412
3938.677306	-31.139579	3413
3939.666432	-30.900969	3414
3940.718645	-29.864288	3415
3941.714900	-29.417902	3416
3942.776666	-29.474528	3417
3943.727297	-28.480966	3418
3944.815413	-27.215867	3419
3945.789025	-25.723664	3420
3946.846741	-26.831192	3421
3947.836699	-26.433192	3422
3948.904348	-25.558591	3423
3949.852703	-24.920117	3424
3950.934433	-24.916212	3425
3951.922220	-23.554283	3426
3952.960879	-23.166258	3427
3953.944260	-23.492411	3428
3955.055814	-22.713948	3429
3955.988436	-23.049629	3430
3957.081748	-22.652442	3431
3958.033634	-21.974530	3432
3959.126413	-20.339825	3433
3960.094349	-21.533121	3434
3961.178730	-20.495309	3435
3962.128271	-18.317955	3436
3963.225313	-19.194710	3437
3964.160719	-19.376527	3438
3965.260161	-17.672053	3439
3966.211755	-18.691276	3440
3967.293599	-18.313939	3441
3968.240474	-17.150154	3442
3969.343577	-17.052516	3443
3970.293585	-16.397250	3444
3971.392946	-15.818504	3445
3972.345840	-16.065251	3446
3973.437529	-18.013302	3447
3974.379113	-16.262606	3448
3975.470191	-15.801320	3449
3976.429517	-14.397318	3450
3977.514121	-13.722317	3451
3978.471850	-14.828398	3452
3979.563834	-13.667704	3453
3980.514752	-14.448088	3454
3981.621893	-13.579187	3455
3982.541386	-12.642613	3456
3983.671340	-12.183291	3457
3984.582568	-12.883289	3458
3985.721241	-12.828296	3459
3986.623349	-11.713199	3460
3987.726048	-12.824765	3461
3988.657901	-11.286573	3462
3989.770683	-10.770765	3463
3990.727142	-10.586731	3464
3991.819469	-11.367268	3465
3992.784547	-11.978155	3466
3993.852175	-11.814845	3467
3994.794148	-11.425937	3468
3995.922835	-10.027807	3469
3996.815982	-8.904761	3470
3997.962333	-9.888746	3471
