crossing time (s)	slope (V/s)	crossing number
3719.047033	134.303014	2949
3720.072689	137.546508	2950
3721.085312	141.128548	2951
3722.103925	142.813393	2952
3723.147156	141.331055	2953
3724.144784	135.909416	2954
3725.172926	138.265063	2955
3726.217128	134.290906	2956
3727.243508	131.282997	2957
3728.246151	131.234912	2958
3729.267266	127.703435	2959
3730.295141	126.795016	2960
3731.308077	126.803856	2961
3732.291646	123.244412	2962
3733.319430	120.432802	2963
3734.358349	115.562586	2964
3735.396882	114.988140	2965
3736.407361	115.663149	2966
3737.443110	113.175451	2967
3738.483845	112.569300	2968
3739.484958	108.748655	2969
3740.520619	111.765249	2970
3741.525124	106.308568	2971
3742.553276	103.616786	2972
3743.579993	100.024709	2973
3744.594631	98.329728	2974
3745.633430	93.843375	2975
3746.637453	90.739820	2976
3747.660149	89.449991	2977
3748.685585	86.390445	2978
3749.692898	85.693287	2979
3750.721260	82.904475	2980
3751.736279	81.895118	2981
3752.768346	80.148236	2982
3753.769699	80.156208	2983
3754.819966	77.925586	2984
3755.815359	76.780741	2985
3756.835799	75.530492	2986
3757.850886	73.645554	2987
3758.899864	71.016105	2988
3759.932611	70.319782	2989
3760.944216	68.225816	2990
3761.918831	67.768886	2991
3762.957409	65.663264	2992
3763.971060	64.161945	2993
3765.028018	63.685588	2994
3766.025194	62.008404	2995
3767.059144	60.073316	2996
3768.078368	58.511766	2997
3769.105119	59.080819	2998
3770.112595	54.758334	2999
3771.131583	53.522821	3000
3772.162857	53.674175	3001
3773.205704	50.951404	3002
3774.212034	51.384657	3003
3775.205504	50.738522	3004
3776.255016	48.848802	3005
3777.259247	47.041644	3006
3778.291610	47.103541	3007
3779.306441	45.567314	3008
3780.345008	43.866840	3009
3781.365819	43.005549	3010
3782.372595	43.439718	3011
3783.382256	40.341692	3012
3784.417061	40.427612	3013
3785.433880	38.889246	3014
3786.459421	39.545808	3015
3787.465402	36.933193	3016
3788.510433	36.737941	3017
3789.519025	34.443863	3018
3790.554525	34.173088	3019
3791.547239	34.186980	3020
3792.594718	32.467424	3021
3793.595764	32.225810	3022
3794.630798	30.724316	3023
3795.651089	30.800348	3024
3796.687024	28.932667	3025
3797.686237	28.953718	3026
3798.723937	29.258055	3027
3799.726362	28.325426	3028
3800.764825	27.787932	3029
3801.766228	26.925088	3030
3802.815666	26.939836	3031
3803.802568	25.813366	3032
3804.862728	24.357228	3033
3805.837470	23.588519	3034
3806.885717	23.176909	3035
3807.889000	23.296697	3036
3808.925078	23.256525	3037
3809.933314	22.185777	3038
3810.981859	21.130474	3039
3811.986804	20.140604	3040
3813.025084	20.875589	3041
3814.030955	19.670255	3042
3815.064660	19.805795	3043
3816.071876	18.485719	3044
3817.091986	18.606206	3045
3818.095287	17.064592	3046
3819.134250	16.882879	3047
3820.163322	16.412909	3048
3821.188246	16.430050	3049
3822.199305	15.871900	3050
3823.220025	15.741743	3051
3824.237812	16.046551	3052
3825.263719	15.134639	3053
3826.286081	14.523420	3054
3827.300752	14.409265	3055
3828.336682	14.515333	3056
3829.349684	12.425802	3057
3830.361112	13.858534	3058
3831.379884	13.689668	3059
3832.427093	12.783354	3060
3833.417673	13.258293	3061
3834.461615	12.601227	3062
3835.485872	12.378339	3063
3836.506696	10.509233	3064
3837.493950	12.110206	3065
3838.561969	10.403771	3066
3839.542648	9.747099	3067
3840.587870	9.322827	3068
3841.581437	9.589764	3069
3842.646230	10.089704	3070
3843.627557	8.119886	3071
3844.678587	8.223158	3072
3845.658808	9.190474	3073
3846.714283	9.481023	3074
