time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3719.053373	300.011139	1.469381	-0.050412	133
3721.094343	299.859222	1.440484	-0.049038	135
3723.136812	299.719696	1.411133	-0.048052	137
3725.179001	299.452271	1.382547	-0.046881	139
3727.220393	299.402466	1.353953	-0.046204	141
3729.261243	299.165009	1.326620	-0.045012	143
3731.302428	299.100281	1.300000	-0.044640	145
3733.344417	299.113983	1.271885	-0.043293	147
3735.387358	298.897156	1.244683	-0.042287	149
3737.430684	298.836212	1.217914	-0.042541	151
3739.473580	298.808197	1.191686	-0.042078	153
3741.516836	298.784821	1.166521	-0.041637	155
3743.559945	298.833069	1.142607	-0.041214	157
3745.603050	298.871429	1.117003	-0.040524	159
3747.645787	119.104172	-1.085825	0.100000	161
3749.688444	318.929535	1.060086	-0.100000	163
3751.731169	118.767159	-1.047317	0.039409	165
3753.773366	121.229446	-0.984451	0.100000	167
3755.815660	118.751434	-1.006298	0.038707	169
3757.857995	118.732170	-0.983126	0.038396	171
3759.900711	118.677223	-0.959526	0.038253	173
3761.942462	118.663170	-0.937583	0.038004	175
3763.985235	118.659988	-0.916644	0.037652	177
3766.028122	118.669762	-0.894780	0.037455	179
3768.071363	118.667412	-0.873170	0.037312	181
3770.114937	118.663025	-0.851763	0.036885	183
3772.158740	118.619858	-0.829981	0.036420	185
3774.202872	118.591736	-0.809643	0.036026	187
3776.246835	118.638084	-0.790078	0.035820	189
3778.290628	118.584282	-0.772017	0.035477	191
3780.334469	118.548988	-0.753165	0.035255	193
3782.377844	118.538223	-0.735774	0.034907	195
3784.421663	118.516701	-0.717800	0.034630	197
3786.465051	118.532440	-0.700849	0.034083	199
3788.508728	118.529823	-0.683179	0.033769	201
3790.551894	118.520103	-0.666455	0.033178	203
3792.595113	118.473297	-0.650031	0.032540	205
3794.637878	118.483849	-0.633652	0.032122	207
3796.681086	118.449287	-0.618256	0.031560	209
3798.723649	118.468773	-0.602384	0.031034	211
3800.766073	118.460129	-0.587686	0.030621	213
3802.809339	118.485352	-0.573268	0.030111	215
3804.852259	118.466187	-0.558803	0.029395	217
3806.893621	118.454376	-0.544257	0.028850	219
3808.935603	118.450516	-0.529611	0.028411	221
3810.978026	118.444481	-0.515774	0.027874	223
3813.020719	118.333580	-0.502634	0.026895	225
3815.061209	118.382294	-0.490026	0.027084	227
3817.102101	118.337074	-0.477418	0.026503	229
3819.143406	118.297417	-0.464809	0.025855	231
3821.184409	118.232910	-0.453419	0.025495	233
3823.224622	118.157097	-0.441595	0.025025	235
3825.264792	118.080750	-0.430565	0.024489	237
3827.304568	117.927521	-0.419816	0.024157	239
3829.345628	117.776917	-0.408546	0.023524	241
3831.384434	117.674858	-0.397917	0.022964	243
3833.424590	117.555885	-0.387969	0.022809	245
3835.466703	117.421371	-0.378112	0.022490	247
3837.504780	117.438217	-0.367567	0.021942	249
3839.546438	117.217812	-0.357626	0.021682	251
3841.586571	117.171234	-0.348108	0.021197	253
3843.629001	117.120079	-0.338852	0.020617	255
3845.669855	117.164703	-0.329534	0.020074	1
