time (s)	magX	magY	magZ
3402.420266	-135.632965	381.908844	626.317322
3402.423594	-133.002930	377.057861	645.545898
3402.426971	-129.145523	371.447113	667.287598
3402.430318	-124.995911	365.836334	687.743408
3402.433643	-120.554062	358.822906	709.192871
3402.436893	-115.352432	350.173004	729.707153
3402.439803	-109.390991	342.282867	751.098206
3402.443139	-103.137344	331.587372	772.722961
3402.446464	-95.714783	321.417877	792.126831
3402.449804	-88.292221	309.611938	812.407349
3402.453135	-79.992981	296.052612	832.278748
3402.456487	-71.518402	281.733490	852.793152
3402.459397	-62.576267	266.596130	871.904663
3402.462712	-53.634136	250.582123	890.431885
3402.466059	-43.523090	233.925186	908.608459
3402.469380	-34.230274	217.092926	925.265320
3402.472704	-24.762127	197.864395	940.753418
3402.476048	-14.709522	178.577454	954.838684
3402.479375	-4.423145	158.296906	969.625427
3402.482701	5.278786	137.782593	981.256042
3402.486039	15.156050	116.859138	993.178894
3402.489375	25.267097	95.000580	1001.361206
3402.492712	35.202805	73.492691	1010.011108
3402.496041	45.781414	50.874344	1016.673889
3402.499371	55.950905	29.191116	1021.583313
3402.502730	65.068382	7.157218	1024.739258
3402.506039	74.185852	-15.519579	1026.667969
3402.509372	83.069550	-37.378139	1026.667969
3402.512703	91.602570	-58.126240	1024.447144
3402.516034	100.720047	-79.341911	1023.102905
3402.519368	109.077728	-99.505554	1018.310364
3402.522707	116.734070	-119.026299	1012.348938
3402.526034	123.981293	-138.839264	1003.932800
3402.529369	131.871429	-157.308014	994.523071
3402.532729	138.767975	-174.900055	983.418518
3402.536035	145.781418	-191.440094	972.196960
3402.539379	152.035080	-208.272354	959.105225
3402.542705	159.516083	-223.292816	943.734131
3402.546049	165.769730	-237.495026	927.836914
3402.549365	171.731155	-251.054352	911.355347
3402.552699	177.692581	-263.269440	894.406128
3402.556037	183.244888	-275.484497	875.820557
3402.559369	187.219162	-286.705994	856.299805
3402.562697	192.187027	-295.998810	835.843994
3402.566040	196.862656	-306.226776	814.745178
3402.569370	201.362946	-313.123322	793.529541
3402.572701	204.928116	-321.422577	770.560486
3402.577403	211.357086	-333.579193	725.616028
3402.580245	213.402695	-338.605499	704.283447
3402.583621	215.389816	-341.995331	680.729980
3402.586956	216.558731	-346.086487	657.702515
3402.590250	218.312103	-349.651672	635.610168
3402.593540	219.422562	-351.229675	612.465820
3402.596876	219.831665	-352.398590	590.022766
3402.599790	219.422562	-353.976624	567.112244
3402.603125	219.071884	-353.450623	545.370544
3402.606454	217.727631	-353.567505	523.804199
3402.609806	216.208069	-352.983063	502.588531
3402.613154	214.746933	-351.931030	483.769165
3402.616470	213.110458	-350.528351	461.559906
3402.619811	210.538864	-349.125671	442.272919
3402.622694	208.142609	-347.255402	423.979553
3402.626025	204.811218	-344.508484	406.387512
3402.629356	201.947388	-342.053772	389.204559
3402.632731	199.375793	-338.663910	372.606079
3402.636021	195.810638	-335.800110	356.124512
3402.639360	192.946808	-332.877838	341.513153
3402.642696	189.264755	-328.436005	327.369385
3402.646043	185.991806	-324.461700	312.056702
3402.649358	183.186432	-320.838104	298.789612
3402.652687	179.153702	-317.214508	286.516083
3402.656022	176.056091	-313.357117	273.950317
3402.659355	172.900055	-308.681488	262.728821
3402.662689	169.393341	-303.947388	251.039749
3402.666024	166.354187	-299.856232	241.279373
3402.669356	162.905899	-295.531250	230.233200
3402.672685	159.457626	-290.621857	220.940384
3402.676043	156.067795	-286.939789	210.770889
3402.679356	152.911743	-281.621277	202.296310
3402.682690	149.346588	-277.354767	193.178848
3402.686059	147.710114	-272.679138	185.464050
3402.689374	144.846283	-268.295715	177.398605
3402.692692	141.690247	-263.386322	169.800705
3402.696023	139.177094	-258.886017	161.910568
3402.699357	137.073059	-253.859726	154.546463
3402.702688	134.676804	-249.710098	147.416122
3402.706015	132.222092	-244.976028	141.630051
3402.709349	129.182938	-240.826401	135.201050
3402.712681	127.078903	-236.443008	129.122742
3402.716020	125.325546	-232.293381	122.985977
3402.719354	122.987732	-227.968445	116.381645
3402.722685	121.059021	-223.585022	111.296906
3402.726016	118.253647	-218.967850	106.095268
3402.729347	116.500290	-215.168900	100.776733
3402.732706	114.454712	-211.311523	96.860901
3402.737361	110.538864	-203.479828	88.269432
3402.740287	108.493271	-200.031555	82.483345
3402.743609	106.097015	-196.057266	79.327293
3402.746867	104.168320	-192.375214	75.820572
3402.750200	102.590302	-188.693161	71.729393
3402.753529	100.720047	-186.180008	68.456459
3402.756905	98.440681	-181.855042	65.826416
3402.760213	96.570435	-179.692581	62.787254
3402.763136	94.349503	-176.361191	59.864990
3402.766460	92.829926	-172.854477	56.650497
3402.769795	91.018120	-170.575089	54.663357
3402.773117	89.264755	-167.477493	52.500877
3402.776467	86.751602	-165.431900	50.163063
3402.779766	85.816483	-162.042084	48.117474
3402.782677	83.829346	-160.347168	45.896549
3402.786013	82.134430	-158.126236	44.610752
3402.789348	80.790184	-155.671539	42.097603
3402.792677	79.504379	-153.742844	39.876678
3402.796012	78.277031	-150.937469	38.649326
3402.799342	76.699005	-148.891861	37.421974
3402.802674	75.413208	-146.554047	36.662186
3402.806009	74.536530	-145.443588	34.908825
3402.809343	73.542953	-143.047333	33.973701
3402.812674	72.081825	-140.592636	32.921684
3402.816008	71.614265	-139.189941	31.343660
3402.819363	70.503799	-137.611908	30.525421
3402.822674	68.925774	-135.098770	29.531851
3402.826004	68.165985	-134.105194	28.479836
3402.829341	67.406197	-132.644058	27.369373
3402.832671	66.704849	-130.656921	26.434248
3402.836000	65.828171	-128.962006	24.914669
3402.839342	65.068382	-127.325546	24.213324
3402.842674	64.250145	-125.455292	23.570425
3402.845997	63.256577	-123.000580	22.635300
3402.849339	63.022797	-122.182350	21.700174
3402.852672	61.970779	-120.370552	20.998831
3402.856007	61.737000	-118.383400	19.713032
3402.859335	60.275864	-117.682060	18.544125
3402.862688	60.100525	-116.454704	18.544125
3402.866004	59.983635	-114.701347	17.784336
3402.869339	59.165401	-112.714203	17.492109
3402.872668	58.113384	-111.954414	16.147867
3402.876003	57.704269	-110.551720	15.504969
3402.879337	56.827587	-109.207481	14.978958
3402.882669	56.301579	-108.272362	13.810053
3402.886001	55.892464	-106.635887	12.699591
3402.889334	55.074226	-106.168327	12.348919
3402.892666	54.372883	-104.765640	11.822910
3402.896963	53.613091	-102.369377	12.348919
3402.900191	53.262421	-101.960258	11.706020
3402.903510	52.853302	-101.258919	10.420221
3402.906871	52.210403	-101.083580	9.835770
3402.910201	51.509060	-99.797783	9.835770
3402.913540	50.281708	-99.096436	9.660433
3402.916936	50.223263	-98.395096	9.426651
3402.919781	49.872589	-98.395096	9.075979
3402.923157	48.995911	-97.810638	8.959087
3402.926421	49.229691	-97.401527	8.725307
3402.929768	48.294563	-96.291061	9.017534
3402.933076	48.353012	-96.057281	8.491526
3402.936437	47.943893	-96.057281	8.549971
3402.939749	47.651665	-95.472824	8.023962
3402.942656	47.885448	-95.122154	8.257744
3402.945996	47.651665	-94.303917	8.608416
3402.949333	47.300995	-94.128578	8.082409
3402.952657	46.658096	-94.128578	8.433081
3402.955997	46.716541	-93.310349	8.842197
3402.959327	46.658096	-93.427238	8.199299
3402.962654	46.599651	-93.251907	7.907073
3402.965991	46.599651	-92.784340	7.264173
3402.969325	46.190533	-92.258331	7.381063
3402.972664	45.956753	-91.732323	7.322618
3402.975994	46.307423	-91.849213	7.264173
3402.979357	45.664524	-90.972534	7.848627
3402.982652	45.956753	-91.323204	7.030391
3402.985985	45.547634	-91.089424	6.855055
3402.989326	46.015198	-90.914093	6.971946
3402.992658	45.196960	-90.563416	8.199299
3402.995994	45.781414	-89.978966	6.913501
3402.999318	46.132088	-90.154297	6.679719
3403.002651	45.606079	-89.978966	6.270602
3403.005992	45.547634	-89.452957	6.621274
3403.009322	45.547634	-89.394508	6.387493
3403.012657	45.196960	-89.043839	6.095266
3403.015983	45.606079	-88.810059	5.452367
3403.019322	45.664524	-89.394508	6.153711
3403.022671	45.372299	-88.985390	5.919930
3403.025983	45.489189	-89.277618	5.861485
3403.029316	45.606079	-89.219170	6.036820
3403.032658	45.021626	-89.336067	6.153711
3403.036002	45.080070	-89.394508	5.510812
3403.039316	44.670952	-89.336067	6.387493
3403.042653	44.787842	-89.978966	6.445938
3403.045981	45.021626	-90.563416	6.855055
3403.049317	44.437172	-90.271187	6.855055
3403.052650	44.846291	-90.797203	6.796610
3403.057287	45.547634	-91.498543	7.030391
3403.060233	45.547634	-92.199890	7.264173
3403.063519	45.722969	-92.550560	7.088837
3403.066948	45.781414	-93.076569	7.614846
3403.070261	45.956753	-93.661018	7.848627
3403.073578	45.898304	-94.245468	7.381063
3403.076827	45.664524	-94.245468	7.731736
3403.080172	46.015198	-95.414375	7.965518
3403.083076	46.190533	-96.232613	8.316189
3403.086411	46.599651	-97.050850	8.374634
3403.089735	47.184105	-97.576859	8.549971
3403.093075	47.008766	-98.745766	10.069550
3403.096446	47.359440	-99.037994	9.952660
3403.099772	47.476330	-99.680893	10.186441
3403.102639	48.294563	-100.382233	10.654003
3403.106018	48.411457	-101.258919	11.355347
3403.109344	48.879021	-102.018707	11.355347
3403.112643	48.703682	-102.427826	11.589128
3403.115970	49.463470	-103.362953	12.290474
