time (s)	magX	magY	magZ
3287.428401	115.740509	64.784332	1000.133850
3287.431775	126.026886	44.737579	1002.179443
3287.435085	136.605499	25.742844	1003.523682
3287.438000	146.482758	6.631210	1002.939270
3287.441328	156.301575	-13.298656	1001.594971
3287.444659	166.704849	-31.416716	997.503784
3287.447971	176.289886	-49.885448	992.419067
3287.451336	186.108704	-67.419052	985.873169
3287.454638	195.576859	-85.303329	978.625977
3287.457549	205.571014	-102.252487	970.209839
3287.460877	214.279358	-118.441849	958.228516
3287.464207	223.747513	-135.507889	945.253662
3287.467546	232.689651	-150.820572	930.993042
3287.470874	241.164215	-165.665680	916.615417
3287.474211	249.346573	-179.458801	900.659851
3287.477540	256.710693	-193.368774	882.775513
3287.480880	263.899475	-206.343658	863.430176
3287.484211	270.562225	-217.915833	842.448242
3287.487544	275.354767	-229.838699	822.576843
3287.490877	280.614838	-240.183502	801.244263
3287.494225	285.173584	-249.710098	778.684387
3287.497534	288.037415	-258.476929	755.481628
3287.500876	291.719452	-266.367035	732.804810
3287.504235	293.239044	-273.906494	709.192871
3287.507535	294.758636	-280.160126	685.756287
3287.510877	296.044403	-286.179993	661.735229
3287.514205	296.453522	-291.673859	637.714233
3287.517542	296.102875	-295.706604	613.459351
3287.520876	294.291077	-298.745758	590.022766
3287.524202	292.303925	-301.668030	568.339539
3287.527538	290.725891	-304.122711	545.604309
3287.530871	288.212738	-305.408539	524.213318
3287.534201	285.056702	-306.285217	503.582123
3287.537534	281.549988	-307.161896	484.236694
3287.540872	278.043274	-307.337219	463.897736
3287.544209	274.887207	-306.752777	445.545898
3287.547532	271.146698	-306.051422	428.538300
3287.550869	266.763306	-305.291626	411.530670
3287.554201	262.905914	-303.362915	394.581543
3287.557536	259.106964	-302.194031	379.151978
3287.560868	254.314438	-299.563995	364.891296
3287.564203	249.814148	-297.693756	350.046173
3287.567535	246.307404	-295.765045	336.428406
3287.571844	237.189941	-289.978943	311.939789
3287.575077	233.390991	-286.413788	299.140259
3287.578382	229.066040	-283.549957	287.684967
3287.581756	225.500870	-280.510834	275.879028
3287.585066	222.111053	-277.413208	264.891296
3287.588410	217.610748	-273.263580	254.546448
3287.591806	213.227356	-269.815308	244.084747
3287.594637	210.188187	-266.250153	234.791931
3287.597975	206.447678	-262.275848	224.856216
3287.601292	202.531845	-257.775574	214.686737
3287.604620	198.849792	-254.327286	205.510803
3287.607955	194.700165	-249.826996	195.984222
3287.611294	191.251892	-245.151367	187.568085
3287.614197	187.452942	-241.761536	178.450607
3287.617533	183.829330	-236.735229	170.268265
3287.620861	179.971939	-232.644073	162.202805
3287.624229	176.406769	-228.319107	154.604919
3287.627525	172.549377	-224.227936	146.247223
3287.630864	169.159561	-219.610748	139.233780
3287.634197	165.769730	-215.987152	132.571014
3287.637526	162.204559	-211.253052	126.025131
3287.640855	158.230270	-207.220322	119.946815
3287.644194	154.431320	-203.362946	112.991814
3287.647526	151.392166	-199.037979	108.140854
3287.650853	148.820572	-195.706589	101.419640
3287.654248	145.080063	-191.907654	96.101105
3287.657520	142.040909	-187.641144	91.951492
3287.660856	139.177094	-185.186432	87.801872
3287.664196	135.553482	-181.504379	83.009354
3287.667557	132.572769	-178.172989	79.268845
3287.670862	130.059616	-174.783157	75.528343
3287.674200	126.962006	-171.685562	71.670952
