time (s)	det(V)
3287.427282	0.321271	
3287.428778	0.613211	
3287.430399	0.879676	
3287.431900	1.187251	
3287.433463	1.419286	
3287.434999	1.606405	
3287.436513	1.626096	
3287.438130	1.626023	
3287.439718	1.626031	
3287.441340	1.626120	
3287.442894	1.626221	
3287.444535	1.626104	
3287.446031	1.626193	
3287.447732	1.625979	
3287.449209	1.626140	
3287.450927	1.626048	
3287.452398	1.626173	
3287.454099	1.626108	
3287.455583	1.626221	
3287.457309	1.626209	
3287.458790	1.626172	
3287.460567	1.626273	
3287.462044	1.626136	
3287.463828	1.626193	
3287.465309	1.626140	
3287.467076	1.626144	
3287.468576	1.626104	
3287.470330	1.626193	
3287.471836	1.626181	
3287.473591	1.626233	
3287.475111	1.626237	
3287.476850	1.626362	
3287.478377	1.626160	
3287.480096	1.626237	
3287.481637	1.626217	
3287.483349	1.626342	
3287.484908	1.626241	
3287.486600	1.626334	
3287.488176	1.626205	
3287.489851	1.626317	
3287.491429	1.626193	
3287.493080	1.626313	
3287.494672	1.626257	
3287.496317	1.626205	
3287.497929	1.626269	
3287.499559	1.626302	
3287.501191	1.626184	
3287.502801	1.626378	
3287.504486	1.626092	
3287.506095	1.626322	
3287.507732	1.626173	
3287.509322	1.626265	
3287.511009	1.626245	
3287.512579	1.626325	
3287.514279	1.626168	
3287.515829	1.626261	
3287.517554	1.626249	
3287.519118	1.626438	
3287.520829	1.626245	
3287.522394	1.626193	
3287.524105	1.626346	
3287.525613	1.626305	
3287.527368	1.626285	
3287.528854	1.626136	
3287.530624	1.626241	
3287.532104	1.626108	
3287.533884	1.626309	
3287.535368	1.626168	
3287.537168	1.626293	
3287.538646	1.626237	
3287.540423	1.626221	
3287.541914	1.626193	
3287.543669	1.626213	
3287.545173	1.626144	
3287.546901	1.626132	
3287.548421	1.626120	
3287.550151	1.626116	
3287.551685	1.626148	
3287.553398	1.626229	
3287.554949	1.626068	
3287.556648	1.626225	
3287.558204	1.626132	
3287.559886	1.626241	
3287.561449	1.626068	
3287.563114	1.626136	
3287.564708	1.626144	
3287.566352	1.626293	
3287.567961	1.625991	
3287.569603	1.626217	
3287.571215	1.626088	
3287.572741	1.626120	
3287.574360	1.626048	
3287.575859	1.626100	
3287.577503	1.626108	
3287.578983	1.626023	
3287.580631	1.626184	
3287.582108	1.626092	
3287.583744	1.625959	
3287.585234	1.625979	
3287.586838	1.625975	
3287.588375	1.626080	
3287.589920	1.626036	
3287.591558	1.626032	
3287.593043	1.626019	
3287.594684	1.625882	
3287.596231	1.626036	
3287.597880	1.625898	
3287.599378	1.626096	
3287.601089	1.625480	
3287.602562	1.625915	
3287.604277	1.623397	
3287.605749	1.624384	
3287.607458	1.579678	
3287.608944	1.499260	
3287.610665	1.438525	
3287.612161	1.389887	
3287.613867	1.318630	
3287.615352	1.288076	
3287.617128	1.222309	
3287.618611	1.195650	
3287.620345	1.125166	
3287.621858	1.105238	
3287.623590	1.039242	
3287.625119	1.034742	
3287.626870	0.972662	
3287.628390	0.941741	
3287.630090	0.861017	
3287.631634	0.850060	
3287.633348	0.788822	
3287.634901	0.763109	
3287.636583	0.704880	
3287.638150	0.678252	
3287.639812	0.648680	
3287.641417	0.617831	
3287.643083	0.577967	
3287.644677	0.554176	
3287.646336	0.497622	
3287.647931	0.495576	
3287.649587	0.455293	
3287.651225	0.477094	
3287.652839	0.401253	
3287.654503	0.396524	
3287.656102	0.360434	
3287.657736	0.340184	
3287.659323	0.316010	
3287.660990	0.313778	
3287.662562	0.271597	
3287.664261	0.242650	
3287.665815	0.226468	
3287.667507	0.226871	
3287.669049	0.171522	
3287.670746	0.183103	
3287.672252	0.169471	
3287.674021	0.138937	
3287.675516	0.151038	
3287.677311	0.134050	
3287.678789	0.098428	
3287.680575	0.095387	
3287.682053	0.082319	
3287.683844	0.050499	
3287.685330	0.075205	
3287.687123	0.050833	
3287.688613	0.049516	
3287.690408	0.054270	
3287.691894	0.016218	
3287.693672	0.003754	
3287.695173	0.037935	
3287.696916	0.002812	
3287.698430	0.017112	
3287.700163	-0.007033	
3287.701694	-0.014325	
3287.703391	-0.031207	
3287.704932	0.009555	
3287.706623	-0.020617	
3287.708181	-0.011106	
3287.709845	-0.029068	
3287.711407	-0.016585	
3287.713080	-0.044058	
3287.714674	-0.024726	
3287.716306	-0.026776	
3287.717931	-0.014498	
3287.719570	-0.054854	
3287.721194	-0.030494	
3287.722807	-0.028110	
3287.724442	-0.022269	
3287.725932	-0.031022	
3287.727496	-0.017036	
3287.728994	-0.020045	
3287.730619	-0.024480	
3287.732105	-0.001881	
