time (s)	det(V)
6605.880472	1.625874	
6605.882025	1.625987	
6605.883691	1.625943	
6605.885268	1.626011	
6605.886909	1.625931	
6605.888510	1.626044	
6605.890137	1.626060	
6605.891747	1.625963	
6605.893361	1.626056	
6605.895005	1.625866	
6605.896599	1.625947	
6605.898230	1.625906	
6605.899819	1.626088	
6605.901510	1.625834	
6605.903062	1.625999	
6605.904764	1.626015	
6605.906307	1.626072	
6605.908021	1.626011	
6605.909569	1.626185	
6605.911279	1.625963	
6605.912816	1.626032	
6605.914557	1.625903	
6605.916038	1.626015	
6605.917795	1.625923	
6605.919273	1.626092	
6605.921045	1.626015	
6605.922524	1.626036	
6605.924305	1.626080	
6605.925783	1.626108	
6605.927562	1.626076	
6605.929062	1.625979	
6605.930811	1.625947	
6605.932316	1.626140	
6605.934041	1.626003	
6605.935560	1.626007	
6605.937261	1.626156	
6605.938803	1.626007	
6605.940502	1.626120	
6605.942058	1.626036	
6605.943735	1.625971	
6605.945296	1.626052	
6605.946948	1.626011	
6605.948533	1.625943	
6605.950177	1.626140	
6605.951774	1.625939	
6605.953385	1.626023	
6605.955023	1.626003	
6605.956615	1.626040	
6605.958271	1.626015	
6605.959867	1.626088	
6605.961512	1.626088	
6605.963088	1.626036	
6605.964745	1.626019	
6605.966232	1.625890	
6605.967778	1.626015	
6605.969281	1.626023	
6605.970806	1.625939	
6605.972321	1.625931	
6605.973880	1.625959	
6605.975435	1.626047	
6605.976906	1.625979	
6605.978569	1.625915	
6605.980063	1.626092	
6605.981712	1.625898	
6605.983237	1.626023	
6605.984862	1.625951	
6605.986351	1.625955	
6605.987979	1.626011	
6605.989473	1.625862	
6605.991107	1.625955	
6605.992596	1.625866	
6605.994296	1.626048	
6605.995770	1.625882	
6605.997438	1.625915	
6605.998949	1.625971	
6606.000585	1.625854	
6606.002127	1.625814	
6606.003716	1.624730	
6606.005302	1.625492	
6606.006870	1.622019	
6606.008487	1.537022	
6606.010024	1.408204	
6606.011668	1.377307	
6606.013260	1.227320	
6606.014893	1.169462	
6606.016485	1.082978	
6606.018154	0.985613	
6606.019723	0.864868	
6606.021419	0.862278	
6606.022951	0.723539	
6606.024672	0.627995	
6606.026207	0.507290	
6606.027927	0.426196	
6606.029443	0.358291	
6606.031177	0.303220	
6606.032669	0.234025	
6606.034436	0.172469	
6606.035914	0.067043	
6606.037716	-0.030176	
6606.039195	-0.070782	
6606.040954	-0.163932	
6606.042435	-0.231475	
6606.044204	-0.334492	
6606.045695	-0.380382	
6606.047450	-0.475011	
6606.048969	-0.539078	
6606.050684	-0.609755	
6606.052213	-0.642018	
6606.053906	-0.762150	
6606.055445	-0.798832	
6606.057141	-0.893514	
6606.058696	-0.930107	
