crossing time (s)	slope (V/s)	crossing number
2283.870659	-131.153679	1478
2284.825334	-122.914026	1479
2285.891051	-128.925275	1480
2286.850542	-113.253961	1481
2287.935516	-117.240977	1482
2288.919281	-105.554435	1483
2289.981912	-103.764748	1484
2290.971336	-96.412073	1485
2292.058404	-98.675916	1486
2292.994827	-81.515074	1487
2294.105352	-87.858210	1488
2295.064039	-75.176050	1489
2296.109381	-76.382030	1490
2297.128249	-65.087541	1491
2298.172564	-69.761884	1492
2299.162174	-60.241640	1493
2300.241565	-62.777542	1494
2301.190831	-53.030056	1495
2302.303733	-56.252246	1496
2303.235977	-45.793035	1497
2304.331622	-50.995482	1498
2305.267826	-34.974474	1499
2306.414329	-46.068712	1500
2307.381701	-41.832527	1501
2308.415517	-39.947008	1502
2309.381171	-34.627084	1503
2310.471618	-37.293282	1504
2311.447618	-29.377681	1505
2312.535484	-31.885918	1506
2313.480184	-26.067769	1507
2314.569671	-27.929854	1508
2315.523016	-22.666534	1509
2316.626566	-25.365529	1510
2317.576680	-20.057986	1511
2318.665893	-23.361111	1512
2319.611407	-18.410508	1513
2320.708254	-20.367968	1514
2321.672466	-16.008839	1515
2322.762879	-17.352683	1516
2323.687278	-13.582529	1517
2324.836827	-16.376866	1518
2325.728902	-12.246356	1519
2326.891268	-14.642062	1520
2327.765050	-11.205924	1521
2328.950810	-12.280440	1522
2329.801426	-8.984148	1523
2330.981169	-10.215440	1524
