time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2703.990612	76.923889	1.968053	0.100000	219
2706.039580	69.710091	1.919489	0.100000	221
2708.082551	68.854843	1.885806	0.100000	223
2710.126045	69.688988	1.846470	0.100000	225
2712.170004	71.304840	1.816853	0.100000	227
2714.214947	71.325668	1.790248	0.100000	229
2716.261049	70.847664	1.753860	0.100000	231
2718.310068	70.584229	1.713299	0.100000	233
2720.357122	70.483559	1.680277	0.100000	235
2722.400590	70.295914	1.643451	0.100000	237
2724.446152	70.122520	1.597882	0.100000	239
2726.493383	70.177193	1.546543	0.100000	241
2728.544381	69.748161	1.496094	0.100000	243
2730.597478	72.972473	1.434986	0.100000	245
2732.646158	73.699913	1.411111	0.100000	247
2734.688384	73.797699	1.401546	0.100000	249
2736.728910	73.102974	1.377074	0.100000	251
2738.771127	70.271591	1.361368	0.100000	253
2740.815599	70.605782	1.322610	0.100000	255
2742.862893	71.031883	1.291391	0.100000	1
2744.908567	71.219322	1.263184	0.100000	3
2746.956838	73.329453	1.224733	0.100000	5
2749.010901	73.516411	1.189398	0.100000	7
2751.065665	73.243492	1.150907	0.100000	9
2753.112873	72.670303	1.117984	0.100000	11
2755.155143	72.335548	1.092938	0.100000	13
2757.196028	70.232941	1.077872	0.100000	15
2759.237125	70.532616	1.056032	0.100000	17
2761.280956	70.584610	1.033842	0.100000	19
2763.325583	70.505302	1.011617	0.100000	21
2765.372245	70.406013	0.985545	0.100000	23
2767.422120	70.285568	0.959295	0.100000	25
2769.470688	74.607536	0.938758	0.100000	27
2771.520715	70.096634	0.903146	0.100000	29
2773.575110	70.119057	0.873539	0.100000	31
2775.630126	70.487534	0.854082	0.100000	33
2777.681334	74.182610	0.833265	0.100000	35
2779.723213	70.410881	0.841960	0.100000	37
2781.762188	69.762283	0.830318	0.100000	39
2783.799567	73.023437	0.828379	0.085232	41
2785.839731	69.723145	0.781052	0.100000	43
2787.887992	69.847916	0.756942	0.100000	45
2789.936679	69.973587	0.737905	0.100000	47
2791.990108	69.576012	0.718693	0.100000	49
2794.052283	68.531761	0.695770	0.100000	51
2796.110650	67.233383	0.667670	0.100000	53
2798.165917	66.416580	0.634638	0.100000	55
