crossing time (s)	slope (V/s)	crossing number
1829.709253	-126.147371	948
1830.684271	-115.631521	949
1831.704438	-106.951707	950
1832.734962	-87.942434	951
1833.819277	-74.392437	952
1834.760401	-66.511783	953
1835.885547	-57.083841	954
1836.811195	-49.767585	955
1837.938981	-43.181120	956
1838.866802	-32.033277	957
1839.971266	-31.381446	958
1840.890969	-23.872540	959
1842.038695	-20.382876	960
1842.927457	-18.500788	961
1844.103369	-14.899367	962
1844.982829	-12.053139	963
1846.131110	-12.136791	964
1847.023438	-6.705409	965
1848.169569	-7.721263	966
1849.037790	-5.396733	967
1850.098476	-56.020342	968
1850.727671	-34.385610	969
1850.946449	-39.043675	970
1851.557893	-8.383148	971
1851.797371	-16.821692	972
1852.140325	-23.168107	973
1852.441293	-22.053744	974
1852.717688	-15.032047	975
1853.030524	-14.162969	976
1853.268430	-18.220500	977
1853.515166	-17.290262	978
1853.781469	-18.604411	979
1854.080039	-20.412941	980
1854.378451	-18.519886	981
1854.682371	-18.117917	982
1854.972110	-11.875453	983
1855.240098	-10.449161	984
