time (s)	det(V)
1830.451647	1.402770	
1830.453165	1.414593	
1830.454867	1.470711	
1830.456394	1.578159	
1830.458105	1.559915	
1830.459659	1.618962	
1830.461351	1.625403	
1830.462923	1.625689	
1830.464598	1.625911	
1830.466166	1.625754	
1830.467817	1.625697	
1830.469413	1.625802	
1830.471034	1.625907	
1830.472653	1.625887	
1830.474245	1.626040	
1830.475928	1.625484	
1830.477534	1.625935	
1830.479182	1.625878	
1830.480785	1.626052	
1830.482463	1.625870	
1830.484037	1.626100	
1830.485732	1.625878	
1830.487277	1.625939	
1830.488994	1.625903	
1830.490548	1.625979	
1830.492252	1.625915	
1830.493806	1.625919	
1830.495526	1.625975	
1830.497033	1.625963	
1830.498780	1.625959	
1830.500261	1.625963	
1830.502036	1.625915	
1830.503515	1.625947	
1830.505285	1.625975	
1830.506764	1.625991	
1830.508548	1.626019	
1830.510036	1.626003	
1830.511791	1.625971	
1830.513288	1.625975	
1830.515018	1.626003	
1830.516535	1.625991	
1830.518245	1.625955	
1830.519776	1.625943	
1830.521461	1.626060	
1830.523010	1.626019	
1830.524699	1.626011	
1830.526273	1.625858	
1830.527945	1.626007	
1830.529520	1.625971	
1830.531170	1.626052	
1830.532757	1.626019	
1830.534389	1.625959	
1830.536014	1.625975	
1830.537628	1.626080	
1830.539254	1.626044	
1830.540871	1.625987	
1830.542519	1.626003	
1830.544123	1.625979	
1830.545770	1.625995	
1830.547347	1.625995	
1830.549040	1.625963	
1830.550593	1.626108	
1830.552320	1.626003	
1830.553862	1.626047	
1830.555557	1.626168	
1830.557099	1.626064	
1830.558816	1.625935	
1830.560317	1.625939	
1830.561869	1.626088	
1830.563365	1.626003	
1830.564944	1.625955	
1830.566489	1.625983	
1830.568033	1.626168	
1830.569629	1.625959	
1830.571126	1.626116	
1830.572764	1.625955	
1830.574272	1.626035	
1830.575910	1.626032	
1830.577404	1.625947	
1830.579047	1.626007	
1830.580541	1.625983	
1830.582171	1.625951	
1830.583655	1.626060	
1830.585287	1.626011	
1830.586769	1.626064	
1830.588453	1.626096	
1830.589949	1.625987	
1830.591604	1.626060	
1830.593131	1.626040	
1830.594780	1.626112	
1830.596356	1.626032	
1830.597958	1.626080	
1830.599548	1.625899	
1830.601123	1.625983	
1830.602734	1.626011	
1830.604281	1.626144	
1830.605927	1.625987	
1830.607546	1.626193	
1830.609201	1.626024	
1830.610805	1.626120	
1830.612472	1.626084	
1830.614035	1.626144	
1830.615732	1.625971	
1830.617289	1.626047	
1830.618995	1.625959	
1830.620544	1.626060	
1830.622238	1.625983	
1830.623784	1.625862	
1830.625515	1.626096	
1830.627021	1.626072	
1830.628773	1.626032	
1830.630261	1.625963	
1830.632028	1.625907	
1830.633514	1.625939	
1830.635287	1.625955	
1830.636774	1.626072	
1830.638551	1.625947	
1830.640037	1.626011	
1830.641796	1.626015	
1830.643292	1.625887	
1830.645013	1.625963	
1830.646528	1.626015	
1830.648246	1.625842	
1830.649779	1.625931	
1830.651463	1.625894	
1830.653018	1.625935	
1830.654701	1.625278	
1830.656264	1.625850	
1830.657927	1.624759	
1830.659503	1.568217	
1830.661148	1.331924	
1830.662731	1.210732	
1830.664361	0.957729	
1830.665985	0.785108	
1830.667588	0.615902	
1830.669238	0.417785	
1830.670853	0.201174	
1830.672515	0.095133	
1830.674108	-0.163598	
1830.675754	-0.344192	
1830.677324	-0.543449	
1830.679027	-0.710765	
1830.680581	-0.944432	
1830.682302	-1.124268	
1830.683847	-1.309812	
1830.685551	-1.492718	
1830.687070	-1.618845	
1830.688789	-1.623123	
1830.690288	-1.628106	
1830.692078	-1.627864	
1830.693555	-1.628013	
1830.695320	-1.627973	
1830.696806	-1.628090	
1830.698582	-1.627880	
1830.700070	-1.628042	
1830.701841	-1.627901	
1830.703332	-1.628163	
1830.705109	-1.627739	
1830.706605	-1.628247	
1830.708339	-1.627997	
1830.709856	-1.628142	
1830.711580	-1.628086	
1830.713101	-1.628243	
1830.714781	-1.628187	
1830.716322	-1.628207	
1830.718010	-1.628215	
1830.719605	-1.628279	
1830.721098	-1.628316	
1830.722731	-1.628255	
1830.724246	-1.628090	
1830.725891	-1.628150	
1830.727373	-1.628163	
1830.729024	-1.628207	
1830.730507	-1.628432	
1830.732134	-1.628158	
1830.733629	-1.628328	
1830.735244	-1.628255	
1830.736751	-1.628267	
1830.738355	-1.628279	
1830.739874	-1.628255	
1830.741434	-1.628299	
1830.742986	-1.628316	
1830.744581	-1.628235	
1830.746173	-1.628424	
1830.747731	-1.628191	
1830.749342	-1.628263	
1830.750880	-1.628320	
1830.752547	-1.628336	
