crossing time (s)	slope (V/s)	crossing number
3229.288003	-112.246422	2616
3230.278076	-120.045616	2617
3231.337653	-108.188294	2618
3232.321199	-114.566648	2619
3233.381763	-114.427708	2620
3234.361605	-87.866693	2621
3235.408338	-104.860722	2622
3236.438307	-92.047568	2623
3237.462853	-95.181720	2624
3238.482658	-95.418168	2625
3239.534206	-95.109018	2626
3240.506826	-86.310436	2627
3241.529303	-93.294371	2628
3242.537642	-84.206064	2629
3243.592458	-89.122550	2630
3244.608092	-86.042329	2631
3245.660893	-85.446890	2632
3246.621672	-83.215270	2633
3247.697571	-82.452855	2634
3248.671614	-73.675367	2635
3249.747216	-83.316736	2636
3250.741402	-74.993012	2637
3251.779025	-79.712645	2638
3252.778316	-72.728486	2639
3253.817913	-74.794599	2640
3254.801486	-66.748575	2641
3255.896171	-72.416716	2642
3256.846776	-59.222491	2643
3257.928681	-67.551726	2644
3258.913556	-57.100347	2645
3259.962924	-67.010306	2646
3260.974832	-57.123339	2647
3262.012323	-63.616376	2648
3263.001484	-54.789785	2649
3264.027060	-61.366198	2650
3265.036361	-52.303578	2651
3266.107912	-57.828665	2652
3267.085291	-49.767684	2653
3268.153015	-55.432330	2654
3269.137653	-51.347939	2655
3270.220049	-57.418878	2656
3271.155882	-48.819849	2657
3272.230533	-52.720897	2658
3273.196501	-47.748294	2659
3274.292436	-52.418243	2660
3275.265244	-44.865650	2661
3276.314762	-48.227322	2662
3277.313436	-39.100546	2663
3278.390870	-44.086312	2664
3279.328658	-39.261877	2665
3280.444590	-43.162383	2666
3281.354479	-38.600422	2667
3282.470329	-41.701005	2668
3283.415949	-36.855583	2669
3284.518433	-40.307447	2670
3285.447774	-35.207680	2671
3286.537098	-38.767370	2672
3287.509129	-31.636546	2673
3288.616231	-37.005047	2674
3289.561566	-29.078623	2675
3290.615630	-35.925018	2676
3291.610322	-26.896459	2677
3292.656937	-34.105848	2678
3293.664103	-30.247591	2679
3294.726365	-33.394871	2680
3295.698247	-29.702158	2681
3296.759390	-31.341415	2682
3297.732615	-27.911679	2683
3298.829995	-30.014310	2684
3299.750155	-25.916744	2685
3300.891043	-29.079025	2686
3301.809081	-22.899217	2687
3302.932355	-27.749142	2688
3303.857995	-21.466835	2689
3304.969941	-25.873413	2690
3305.882542	-20.351768	2691
3307.010169	-25.145753	2692
3307.937892	-19.429364	2693
3309.033015	-24.331924	2694
3309.992012	-18.950630	2695
3311.095928	-23.443292	2696
3312.011801	-19.451166	2697
3313.156970	-23.209595	2698
3314.068050	-17.785844	2699
3315.188084	-20.699218	2700
3316.106186	-19.359085	2701
3317.232101	-21.507426	2702
3318.162452	-17.073083	2703
3319.279263	-19.789965	2704
3320.214128	-16.828808	2705
3321.301853	-18.597748	2706
3322.261135	-15.578060	2707
3323.322644	-18.460617	2708
3324.328617	-15.053436	2709
3325.371260	-17.992955	2710
3326.370958	-13.568967	2711
3327.440062	-15.881211	2712
3328.391263	-11.698289	2713
3329.503013	-14.492512	2714
3330.396494	-12.229648	2715
3331.568499	-15.105408	2716
3332.436695	-11.877024	2717
3333.587257	-14.212777	2718
3334.490418	-11.095851	2719
3335.651135	-14.256712	2720
3336.532275	-10.741431	2721
3337.672136	-13.424098	2722
3338.592617	-10.887802	2723
3339.699533	-13.775131	2724
3340.667528	-9.352791	2725
3341.725567	-12.447868	2726
3342.701132	-10.043927	2727
3343.766036	-11.725809	2728
3344.732598	-9.390302	2729
3345.828066	-10.205224	2730
3346.772843	-8.700954	2731
3347.878031	-10.109396	2732
3348.821735	-8.601626	2733
3349.930119	-9.909632	2734
3350.830187	-7.429477	2735
3351.986323	-9.266635	2736
3352.870453	-7.817678	2737
3354.025707	-8.291949	2738
3354.909740	-8.270330	2739
3356.072426	-7.623278	2740
3356.954158	-6.400953	2741
3358.124547	-8.069048	2742
