time (s)	magX	magY	magZ
2166.908640	409.417877	367.102844	382.893616
2166.911976	409.534790	370.025146	377.516632
2166.915313	410.002350	373.707184	372.841003
2166.918642	410.469910	377.155457	366.821167
2166.921976	410.937469	380.662201	362.613068
2166.925312	411.229675	384.285797	357.411438
2166.928657	411.463470	387.734070	351.859131
2166.931974	411.405029	391.065460	346.014587
2166.935311	410.995911	393.929291	340.053162
2166.938638	411.171265	398.195801	334.325531
2166.941972	411.288147	401.527191	328.773224
2166.945318	411.171265	404.858551	322.402679
2166.948638	410.820587	408.189972	316.908813
2166.951976	410.703674	411.229095	309.836914
2166.955301	410.060791	414.969604	302.823486
2166.958643	409.300995	418.008789	296.043823
2166.961972	408.891876	421.983063	290.082397
2166.965307	407.898315	425.080658	283.361176
2166.968638	407.313843	428.061371	275.704834
2166.971991	405.911163	431.509644	268.223816
2166.975303	404.333130	434.957916	260.158356
2166.978638	402.813568	438.756866	252.268250
2166.981970	401.995331	441.796051	244.378113
2166.985309	400.241974	444.952087	235.026855
2166.988634	398.137939	448.458801	226.435425
2166.991967	396.618347	450.855072	217.201019
2166.995301	394.631226	453.835785	207.323792
2166.999548	390.423157	458.628296	187.101685
2167.002892	387.851562	461.024536	176.698395
2167.006165	385.221497	462.602570	166.061340
2167.009489	382.182343	464.355957	153.495605
2167.012814	379.669189	466.576874	142.274078
2167.016194	376.396271	467.336639	131.052582
2167.019503	373.473999	468.973114	119.129730
2167.022407	370.551727	469.089996	106.505524
2167.025735	367.161896	469.148468	93.706024
2167.029078	363.362946	469.206909	80.614227
2167.032388	360.148468	469.089996	67.580933
2167.035723	356.875519	468.271790	54.898285
2167.039066	353.193451	466.810638	40.754486
2167.041963	348.751617	465.524841	27.253601
2167.045299	343.959106	463.011688	13.460510
2167.048636	340.101685	460.907684	0.836304
2167.051960	335.952087	457.576263	-13.482788
2167.055296	331.802460	454.011108	-27.509644
2167.058632	327.886627	450.212158	-40.075439
2167.061960	323.152557	446.120972	-53.400940
2167.065298	317.834015	441.679138	-66.726501
2167.068623	312.807709	436.360626	-80.461121
2167.071961	308.132080	430.048523	-93.903625
2167.075292	302.872009	423.502625	-106.878418
2167.078633	297.261261	417.424316	-119.035095
2167.081974	291.299835	409.592651	-131.425476
2167.085293	285.046173	402.170074	-144.341919
2167.088627	279.026306	393.637054	-155.446533
2167.091958	272.363525	385.104034	-167.018738
2167.095327	265.642334	375.752777	-178.649353
2167.098628	258.687317	366.518433	-190.279968
2167.101964	251.264771	356.056702	-200.566345
2167.105288	244.368210	345.536530	-210.969604
2167.108627	237.062531	334.198151	-221.080627
2167.111953	229.464630	322.742828	-231.367065
2167.115287	220.054932	310.527771	-240.192261
2167.118627	212.632385	298.137360	-249.485107
2167.121961	204.099365	284.753357	-257.550598
2167.125287	195.332550	270.784912	-264.388672
2167.128622	187.208649	256.232025	-270.408569
2167.131952	179.318527	241.270020	-277.655762
2167.135290	170.259506	226.892456	-283.675659
2167.138649	161.200470	210.352417	-287.766785
2167.141985	152.959671	193.812378	-293.026917
2167.145296	145.244888	178.032135	-294.488037
2167.148617	137.296326	161.667450	-298.228516
2167.153234	121.457626	127.418465	-300.741760
2167.156149	114.619522	110.878433	-300.390991
2167.159502	108.073639	94.104614	-299.806580
2167.162839	101.235535	76.629456	-298.403870
2167.166200	95.040329	59.329628	-295.949158
2167.169553	89.195801	42.263584	-292.968445
2167.172866	83.701935	25.548214	-288.643494
2167.175739	78.792542	8.891289	-284.493896
2167.179050	74.233765	-6.596733	-279.935120
2167.182411	69.733490	-22.260086	-272.278870
2167.185706	65.583862	-36.871422	-265.557617
2167.189052	62.720032	-52.242554	-257.842773
2167.192380	59.388672	-66.386330	-250.244934
2167.195281	56.817047	-80.120995	-240.893677
2167.198612	53.777924	-92.920509	-231.367065
2167.201951	51.907654	-106.187614	-220.846924
2167.205285	50.621857	-118.227364	-211.086548
2167.208614	48.868500	-129.098175	-199.105225
2167.211950	48.167145	-140.027466	-188.059082
2167.215320	46.706024	-149.904724	-176.311584
2167.218614	46.238434	-160.074219	-163.804199
2167.221951	46.296906	-168.198151	-151.413757
2167.225283	46.063110	-176.614258	-138.205139
2167.228610	46.063110	-184.445923	-123.593811
2167.231981	46.121582	-191.284027	-110.618958
2167.235283	46.530670	-197.946808	-96.592041
2167.238614	46.939819	-204.200470	-81.513184
2167.241946	48.693146	-209.811218	-67.018738
2167.245300	49.628296	-214.954407	-52.407349
2167.248614	50.154297	-219.630035	-37.796021
2167.251941	52.141418	-223.428986	-22.249573
2167.255278	53.018127	-227.637054	-6.936890
2167.258611	55.472839	-230.793091	8.375793
2167.261943	57.050842	-233.423126	23.454712
2167.265272	59.154907	-235.936279	38.825836
2167.268606	61.668030	-237.981873	54.313843
2167.271937	63.830536	-239.326111	69.509644
2167.275286	66.869659	-240.144348	84.939178
2167.278626	69.908844	-240.787231	99.433655
2167.281944	72.889557	-241.547028	113.402069
2167.285276	75.285797	-241.605499	128.422546
2167.288619	78.383392	-241.547028	142.449432
2167.291937	82.007019	-241.430145	156.710083
2167.295275	86.215088	-239.793671	169.684967
2167.299908	93.286972	-237.923431	197.680298
2167.302804	97.144363	-236.812988	209.427795
2167.306143	101.527771	-235.176483	221.584412
2167.309559	105.852722	-233.364716	234.383972
2167.312867	109.710129	-231.962006	245.839233
2167.316127	113.216827	-228.805939	256.534760
2167.319062	117.600235	-227.344818	267.873169
2167.322363	121.574524	-224.597900	278.334869
2167.325698	126.074814	-222.026306	287.978333
2167.329031	129.639984	-219.513153	298.089417
2167.332374	134.081818	-216.883118	306.388672
2167.335690	137.354752	-213.434814	314.921692
2167.338606	141.153717	-210.103455	322.987122
2167.341936	145.303329	-207.707184	330.994141
2167.345268	149.277618	-204.784912	339.410278
2167.348597	152.667450	-202.213318	346.891266
2167.351929	156.466385	-198.531281	354.313843
2167.355334	159.914673	-195.375214	360.859711
2167.358604	163.421402	-192.628296	367.230255
2167.361960	166.460556	-189.238464	374.477478
2167.365265	169.850388	-186.140839	379.679138
2167.368597	172.947983	-183.101685	386.108093
2167.371931	175.636475	-179.361176	391.894196
2167.375272	179.084747	-176.672699	397.914062
2167.378595	181.890121	-173.165985	402.063690
2167.381927	184.870850	-169.834595	408.025116
2167.385265	187.033325	-166.912323	414.395660
2167.388598	189.838699	-163.464050	419.538849
2167.391928	193.053192	-160.074219	423.513123
2167.395261	195.215668	-157.093506	427.604309
2167.398620	198.196381	-153.879028	432.630615
2167.401926	200.709518	-150.313873	436.955566
2167.405266	203.281113	-146.748688	441.864990
2167.408599	205.677383	-144.177094	446.014587
2167.411930	208.015198	-140.904144	449.696655
2167.415299	210.645233	-136.988312	453.729370
2167.418593	213.333725	-134.650513	457.236115
2167.421928	215.437759	-131.143768	461.794830
2167.425263	218.009354	-128.046173	465.535339
2167.428597	219.645828	-124.481010	468.399170
2167.431928	222.509644	-121.792519	471.555206
2167.435262	224.730560	-119.220924	475.412598
2167.438589	226.834595	-116.123329	477.633545
2167.441953	229.230865	-113.610176	481.315582
2167.446593	233.614258	-107.882530	487.043243
2167.449478	235.309174	-105.836937	489.497925
2167.452852	237.179428	-103.031563	491.368195
2167.456191	239.867920	-100.927528	493.939789
2167.459532	241.329056	-98.414391	495.693146
2167.462786	243.374634	-96.602577	498.556976
2167.466104	244.718872	-94.030968	500.953217
2167.469014	246.296906	-92.160728	502.823486
2167.472355	248.342499	-90.056694	504.459961
2167.475680	249.978973	-88.069557	506.271759
2167.479043	251.907654	-85.614845	507.732880
2167.482365	253.193451	-84.445946	509.252472
2167.485698	254.128586	-82.283455	510.012268
2167.488598	255.531281	-80.179420	511.648712
2167.491941	257.459961	-78.133842	512.116272
2167.495253	258.219757	-77.023384	514.044983
2167.498588	259.037994	-76.205147	515.330811
2167.501918	260.440674	-73.341316	516.149048
2167.505260	262.077148	-72.873756	516.908813
2167.508588	262.603149	-70.711296	518.194580
2167.511918	263.596741	-69.717720	519.188171
2167.515256	264.648743	-67.847466	520.298645
2167.518585	265.057861	-66.444771	520.240173
2167.521915	266.343658	-65.684990	521.642883
2167.525250	266.928101	-63.814735	522.694885
2167.528586	268.097015	-62.587379	523.337769
2167.531919	268.623047	-61.652260	524.097595
2167.535267	269.733490	-60.366447	524.740479
2167.538584	270.259521	-58.846870	524.682068
