time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3704.449992	73.461845	2.043178	0.100000	113
3706.497711	73.209381	2.012360	0.100000	115
3708.541124	73.219055	1.980350	0.100000	117
3710.584519	73.256149	1.958196	0.100000	119
3712.630086	73.222488	1.940981	0.100000	121
3714.675147	73.379494	1.907833	0.100000	123
3716.719907	73.565582	1.892207	0.100000	125
3718.764150	73.752945	1.870981	0.100000	127
3720.809018	73.932785	1.848584	0.100000	129
3722.852206	74.000885	1.838483	0.100000	131
3724.894923	74.042755	1.819887	0.100000	133
3726.938047	74.072113	1.804403	0.100000	135
3728.980723	74.056610	1.786768	0.100000	137
3731.024265	74.006340	1.763246	0.100000	139
3733.069336	74.081146	1.734763	0.100000	141
3735.114844	74.152298	1.717249	0.100000	143
3737.160613	74.148003	1.686298	0.100000	145
3739.207240	74.052834	1.651326	0.100000	147
3741.252719	73.934319	1.624477	0.100000	149
3743.297564	73.872665	1.600571	0.100000	151
3745.342087	73.790596	1.577893	0.100000	153
3747.386090	73.759293	1.554304	0.100000	155
3749.430787	73.744339	1.534722	0.100000	157
3751.474454	73.793259	1.510285	0.100000	159
3753.519515	73.974007	1.495207	0.100000	161
3755.563668	74.127983	1.479418	0.100000	163
3757.607430	74.310844	1.464680	0.100000	165
3759.650348	74.326576	1.451957	0.100000	167
3761.692771	74.469002	1.438454	0.100000	169
3763.734418	74.434143	1.424085	0.100000	171
3765.776886	74.522972	1.409362	0.100000	173
3767.820411	74.393456	1.396072	0.100000	175
3769.865437	74.513641	1.374407	0.100000	177
3771.910847	74.512787	1.355156	0.100000	179
3773.957247	74.612671	1.330936	0.100000	181
3776.002909	74.418640	1.310325	0.100000	183
3778.049051	74.260956	1.289595	0.100000	185
3780.094756	74.166443	1.267573	0.100000	187
3782.139641	73.977997	1.250608	0.100000	189
3784.183789	73.965874	1.230585	0.100000	191
3786.227846	73.931396	1.212213	0.100000	193
3788.272293	74.029648	1.199224	0.100000	195
3790.316423	74.170540	1.186875	0.100000	197
3792.360223	74.182961	1.173223	0.100000	199
3794.403641	74.412804	1.168160	0.100000	201
3796.445628	74.483932	1.159933	0.100000	203
3798.487507	74.527008	1.150360	0.100000	205
3800.528684	74.692657	1.140006	0.100000	207
3802.570863	74.634430	1.127654	0.100000	209
3804.615225	74.613701	1.112424	0.100000	211
3806.659020	74.578438	1.094458	0.100000	213
3808.706000	74.451195	1.080159	0.100000	215
3810.754435	74.357468	1.059206	0.100000	217
3812.801729	74.138863	1.042657	0.100000	219
3814.847693	73.888245	1.023223	0.100000	221
3816.892764	73.664398	1.004857	0.100000	223
3818.938162	73.548660	0.989740	0.100000	225
3820.982193	73.562599	0.977734	0.100000	227
3823.027965	73.485435	0.965224	0.100000	229
3825.071273	73.500160	0.953001	0.100000	231
3827.114654	73.577423	0.943948	0.100000	233
3829.159834	73.564278	0.937512	0.100000	235
3831.201218	73.532341	0.927727	0.100000	237
3833.241293	73.750702	0.923550	0.100000	239
3835.281990	73.927834	0.917505	0.100000	241
3837.323985	73.861198	0.905407	0.100000	243
3839.365551	73.816269	0.897390	0.100000	245
3841.412298	73.845329	0.888037	0.100000	247
3843.456526	73.876640	0.876753	0.100000	249
