time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1432.933167	107.990189	-0.450059	0.066264	179
1434.975082	107.937004	-0.445644	0.065786	181
1437.013384	107.913818	-0.441947	0.065380	183
1439.053820	107.857262	-0.438467	0.065205	185
1441.093125	107.901062	-0.433712	0.064856	187
1443.129443	107.820770	-0.428485	0.064340	189
1445.170101	107.704666	-0.424150	0.063409	191
1447.204059	107.512199	-0.420561	0.063039	193
1449.241572	107.342934	-0.416778	0.062606	195
1451.275458	107.109177	-0.413451	0.062300	197
1453.311461	106.946648	-0.409867	0.061616	199
1455.349489	106.596329	-0.405420	0.061218	201
1457.384531	106.468849	-0.401040	0.060908	203
1459.423823	106.447502	-0.396371	0.059996	205
1461.462233	106.412727	-0.392254	0.059588	207
1463.501123	106.456902	-0.388134	0.059053	209
1465.541737	106.555389	-0.383268	0.058431	211
1467.584584	106.718704	-0.378675	0.057966	213
1469.625992	107.007072	-0.373260	0.057333	215
1471.668380	107.192146	-0.369332	0.056966	217
1473.709663	107.503365	-0.364718	0.056335	219
1475.753330	107.803261	-0.359422	0.056182	221
1477.793903	108.012306	-0.355747	0.055848	223
1479.831026	108.057953	-0.352416	0.055429	225
1481.873779	108.052032	-0.348936	0.054994	227
1483.912773	107.988235	-0.345043	0.054509	229
1485.949397	107.841713	-0.341815	0.053691	231
1487.987295	107.695969	-0.338644	0.053281	233
1490.026450	107.616058	-0.334644	0.052777	235
1492.063605	107.477997	-0.330753	0.052167	237
1494.102200	107.324310	-0.327091	0.051541	239
1496.141060	107.215080	-0.322924	0.050841	241
1498.180192	107.202454	-0.317878	0.050479	243
1500.221430	107.099762	-0.315372	0.049907	245
1502.262359	107.131989	-0.311207	0.049570	247
1504.298873	107.086258	-0.308231	0.049053	249
1506.340053	107.158951	-0.304971	0.048898	251
1508.377784	107.282188	-0.301393	0.049005	253
1510.420180	107.384575	-0.298199	0.048112	255
1512.459857	107.161209	-0.295257	0.047551	1
1514.495742	107.084084	-0.292391	0.047270	3
1516.532212	106.974655	-0.290013	0.047049	5
1518.572223	106.736946	-0.288013	0.046753	7
1520.606927	106.402359	-0.286150	0.046201	9
1522.638615	106.271469	-0.283776	0.046001	11
1524.674682	106.040070	-0.281266	0.045482	13
1526.708809	105.844894	-0.278903	0.045088	15
1528.743785	105.639069	-0.276367	0.044819	17
1530.780932	105.397957	-0.273814	0.044340	19
1532.821390	105.380608	-0.270862	0.044024	21
1534.857583	105.419540	-0.267222	0.043951	23
1536.898356	105.364563	-0.264490	0.043304	25
1538.940279	105.502716	-0.260529	0.042993	27
1540.977662	105.904869	-0.257570	0.042642	29
1543.024844	106.412880	-0.253586	0.042525	31
1545.069246	106.770195	-0.249982	0.042255	33
1547.114773	107.080238	-0.246761	0.042209	35
1549.153810	107.314560	-0.244332	0.041797	37
1551.196684	107.534920	-0.241157	0.041757	39
1553.236967	107.659416	-0.238406	0.041589	41
1555.271834	107.678658	-0.235893	0.040906	43
1557.311105	107.560081	-0.233596	0.040622	45
1559.350701	107.330833	-0.231319	0.040089	47
1561.391549	107.147469	-0.228517	0.039636	49
1563.431074	107.112671	-0.226397	0.039405	51
1565.465175	107.118027	-0.222919	0.038781	53
1567.507683	106.965736	-0.220993	0.038480	55
1569.546669	107.031876	-0.218310	0.038076	57
1571.587671	107.010841	-0.214656	0.037873	59
1573.625536	106.822197	-0.213279	0.037252	61
1575.662523	107.019951	-0.209727	0.037010	63
1577.703905	106.963608	-0.207784	0.036520	65
