time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6128.378347	75.058937	2.122283	0.100000	249
6130.424431	76.142441	2.080164	0.100000	251
6132.471415	78.081894	2.048328	0.100000	253
6134.515197	78.291122	2.083362	0.100000	255
6136.554898	76.480301	2.087720	0.100000	1
6138.594360	72.371819	2.091668	0.100000	3
6140.635504	74.599464	2.039411	0.100000	5
6142.678035	69.223724	2.018894	0.100000	7
6144.721218	69.468376	1.993733	0.100000	9
6146.763914	69.594742	1.966292	0.100000	11
6148.806821	69.625809	1.949848	0.100000	13
6150.849099	69.790375	1.929863	0.100000	15
6152.890358	70.024574	1.917423	0.100000	17
6154.932410	70.095337	1.902024	0.100000	19
6156.976719	69.987274	1.884770	0.100000	21
6159.022366	73.499352	1.821194	0.100000	23
6161.069125	73.604126	1.785843	0.100000	25
6163.113559	72.961166	1.750472	0.100000	27
6165.152633	72.508537	1.740954	0.100000	29
6167.190474	72.457153	1.735886	0.100000	31
6169.229428	72.811897	1.727746	0.100000	33
6171.274133	73.363319	1.703711	0.100000	35
6173.321639	73.739929	1.676313	0.100000	37
6175.367852	73.408119	1.643503	0.100000	39
6177.409854	73.026070	1.619820	0.100000	41
6179.450118	72.667252	1.604210	0.100000	43
6181.489734	72.574181	1.589323	0.100000	45
6183.528679	72.513718	1.578972	0.100000	47
6185.569660	72.541039	1.564487	0.100000	49
6187.611318	72.580902	1.550453	0.100000	51
6189.653344	72.650162	1.537521	0.100000	53
6191.695688	72.641289	1.518098	0.100000	55
6193.737840	72.612892	1.497039	0.100000	57
6195.780737	72.523994	1.477892	0.100000	59
6197.824201	72.478600	1.455835	0.100000	61
6199.867887	72.487236	1.433638	0.100000	63
6201.913421	72.734360	1.412182	0.100000	65
6203.959368	73.165237	1.389059	0.100000	67
6206.005047	73.730110	1.370147	0.100000	69
6208.048316	74.176834	1.366340	0.100000	71
6210.088790	74.294868	1.367556	0.100000	73
6212.124845	73.860039	1.363879	0.100000	75
6214.161572	73.072594	1.348473	0.100000	77
6216.203079	72.577995	1.317537	0.100000	79
6218.247989	72.524445	1.291716	0.100000	81
6220.294676	72.818703	1.268098	0.100000	83
6222.342943	73.361389	1.247529	0.100000	85
6224.388607	73.781013	1.238472	0.100000	87
6226.430972	74.156494	1.231920	0.100000	89
6228.471911	74.331810	1.225763	0.100000	91
