crossing time (s)	slope (V/s)	crossing number
5543.935186	143.337138	4928
5544.932898	142.916852	4929
5545.952497	137.779057	4930
5546.960342	136.774588	4931
5547.983242	142.420840	4932
5549.013468	144.482137	4933
5550.033823	136.126350	4934
5551.046115	138.959824	4935
5552.090459	141.090099	4936
5553.073045	141.271743	4937
5554.113043	142.925677	4938
5555.149076	139.666470	4939
5556.172755	137.632184	4940
5557.159792	136.603598	4941
5558.194909	140.875319	4942
5559.206466	140.078352	4943
5560.226415	137.274530	4944
5561.244519	133.501532	4945
5562.275295	132.653887	4946
5563.277165	132.219355	4947
5564.304264	136.354819	4948
5565.348911	137.310330	4949
5566.378373	131.199247	4950
5567.365129	133.312293	4951
5568.404215	129.362612	4952
5569.387536	131.494989	4953
5570.469024	131.934226	4954
5571.445965	128.530404	4955
5572.482660	131.903629	4956
5573.475056	132.400312	4957
5574.505735	130.153790	4958
5575.534824	131.028227	4959
5576.559575	128.612422	4960
5577.566912	128.818217	4961
5578.595936	125.890228	4962
5579.610609	128.024641	4963
5580.637194	126.101010	4964
5581.659936	125.385054	4965
5582.677690	121.163450	4966
5583.689246	124.668303	4967
5584.733591	120.857737	4968
5585.731945	122.393751	4969
5586.753900	121.394771	4970
5587.764742	118.339680	4971
5588.788252	119.011207	4972
5589.805269	116.937753	4973
5590.823903	118.207934	4974
5591.870420	116.807627	4975
5592.869911	115.158385	4976
5593.883897	115.787516	4977
5594.885248	113.413846	4978
5595.917268	112.843141	4979
5596.968421	110.630188	4980
5597.952440	109.681991	4981
5598.984098	109.384815	4982
5600.012980	108.830504	4983
5601.071415	107.113792	4984
5602.026171	106.895103	4985
5603.082152	105.506589	4986
5604.055627	103.513804	4987
5605.118237	103.039094	4988
5606.115315	102.555270	4989
5607.137445	100.487837	4990
5608.163297	100.383336	4991
5609.203504	99.094509	4992
5610.205433	98.660985	4993
5611.266420	97.874876	4994
5612.240624	97.291360	4995
5613.265890	95.266234	4996
5614.280981	94.823958	4997
5615.313660	93.664701	4998
5616.313255	93.363035	4999
5617.363546	92.568304	5000
5618.365802	90.019796	5001
5619.380198	90.617677	5002
5620.427603	89.175301	5003
5621.437226	88.461709	5004
5622.444806	87.681271	5005
5623.474631	87.249464	5006
5624.473252	86.153945	5007
5625.505101	84.781736	5008
5626.512322	83.413739	5009
5627.557304	82.074470	5010
5628.545864	82.090224	5011
5629.598600	81.996907	5012
5630.598151	78.499887	5013
5631.619106	79.826676	5014
5632.652179	78.517168	5015
5633.671405	77.069457	5016
5634.679416	75.880718	5017
5635.720825	76.439997	5018
