time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1759.737878	251.800705	1.667994	0.045314	119
1761.792534	251.533478	1.502735	0.057339	121
1763.834280	252.656815	1.323935	0.054515	123
1765.882848	253.589218	1.165528	0.058281	125
1767.928566	253.691666	1.007908	0.047688	127
1769.982154	253.805191	0.864496	0.037924	129
1772.018415	253.629349	0.747284	0.025540	131
1774.031628	253.511444	0.648606	0.017254	133
1776.080632	252.878067	0.546628	0.035246	135
1778.163944	255.581924	0.467033	0.024385	137
1780.162918	253.105484	0.395508	0.004977	139
