time (s)	det(V)
4343.257743	-1.627534	
4343.259315	-1.627913	
4343.261005	-1.627760	
4343.262560	-1.628070	
4343.264252	-1.627828	
4343.265780	-1.628058	
4343.267508	-1.627655	
4343.268989	-1.627864	
4343.270773	-1.627393	
4343.272252	-1.627828	
4343.274020	-1.627252	
4343.275499	-1.599062	
4343.277275	-1.565466	
4343.278762	-1.508268	
4343.280524	-1.452669	
4343.282014	-1.401743	
4343.283739	-1.384014	
4343.285246	-1.338671	
4343.286968	-1.281082	
4343.288497	-1.256630	
4343.290209	-1.207106	
4343.291751	-1.151234	
4343.293447	-1.151165	
4343.294999	-1.130605	
4343.296678	-1.076504	
4343.298240	-1.030807	
4343.299907	-1.004397	
4343.301535	-0.960928	
4343.303023	-0.928310	
4343.304593	-0.891560	
4343.306077	-0.869900	
4343.307714	-0.846644	
4343.309188	-0.809318	
4343.310815	-0.806796	
4343.312292	-0.766795	
4343.313928	-0.736659	
4343.315399	-0.731946	
4343.316992	-0.710906	
4343.318528	-0.659202	
4343.320074	-0.642259	
4343.321676	-0.611560	
4343.323160	-0.603406	
4343.324791	-0.555477	
4343.326331	-0.560013	
4343.327972	-0.560215	
4343.329449	-0.522719	
4343.331170	-0.469142	
4343.332644	-0.461940	
4343.334358	-0.464498	
4343.335835	-0.438918	
4343.337555	-0.405890	
4343.339043	-0.385772	
4343.340754	-0.405882	
4343.342256	-0.342677	
4343.343943	-0.364603	
4343.345422	-0.370340	
4343.347088	-0.338423	
4343.348595	-0.300787	
4343.350327	-0.350500	
4343.351839	-0.291811	
4343.353545	-0.287433	
4343.355081	-0.239858	
4343.356790	-0.277290	
4343.358351	-0.226774	
4343.360026	-0.248700	
4343.361603	-0.230404	
4343.363264	-0.237973	
4343.364833	-0.208139	
4343.366463	-0.212313	
4343.368060	-0.176690	
4343.369668	-0.187716	
4343.371308	-0.148266	
4343.372896	-0.174241	
4343.374560	-0.144536	
4343.376157	-0.132504	
4343.377800	-0.130594	
4343.379387	-0.139827	
4343.381066	-0.132842	
4343.382611	-0.120507	
4343.384305	-0.137003	
4343.385841	-0.096950	
4343.387543	-0.101425	
4343.389051	-0.069045	
4343.390810	-0.081755	
4343.392304	-0.065944	
4343.394071	-0.077215	
4343.395561	-0.110461	
4343.397349	-0.066935	
4343.398831	-0.069440	
4343.400611	-0.079402	
4343.402081	-0.049198	
4343.403855	-0.028947	
4343.405345	-0.067390	
4343.407102	-0.005998	
4343.408613	-0.036509	
4343.410354	-0.057250	
4343.411872	-0.035284	
4343.413581	-0.052493	
4343.415114	-0.045419	
4343.416800	-0.056908	
4343.418349	-0.035175	
4343.420018	-0.056364	
4343.421584	-0.007122	
4343.423252	-0.021576	
4343.424839	0.036355	
4343.426482	-0.033254	
4343.428076	-0.026784	
4343.429709	-0.039506	
4343.431325	-0.015416	
4343.432965	-0.033572	
4343.434638	-0.014873	
4343.436227	-0.025946	
4343.437887	0.049331	
4343.439457	-0.026236	
4343.441145	-0.019972	
4343.442727	-0.018716	
4343.444398	0.024436	
4343.445962	-0.027086	
4343.447679	-0.000588	
