time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2942.820010	255.483887	2.081149	0.100000	195
2944.868529	255.786652	2.110455	0.100000	197
2946.918888	252.365952	2.016071	0.100000	199
2948.967776	252.073410	2.005955	0.100000	201
2951.013311	251.974915	1.959616	0.100000	203
2953.058672	251.784805	1.917494	0.100000	205
2955.104812	251.786118	1.880925	0.100000	207
2957.148890	258.016327	1.876214	0.100000	209
2959.190973	258.900665	1.831017	0.100000	211
2961.233193	259.416443	1.779717	0.100000	213
2963.277118	259.750092	1.726791	0.100000	215
2965.323855	259.436493	1.677783	0.100000	217
2967.371123	258.881622	1.640346	0.100000	219
2969.418124	257.134888	1.591368	0.100000	221
2971.464471	256.930603	1.559952	0.100000	223
2973.509850	256.918091	1.526163	0.100000	225
2975.553932	257.108154	1.489270	0.100000	227
2977.597773	257.531158	1.455919	0.100000	229
2979.640224	258.022003	1.420039	0.100000	231
2981.681851	258.511017	1.385148	0.100000	233
2983.725399	259.028534	1.358014	0.100000	235
2985.771859	259.173523	1.336159	0.100000	237
2987.820342	258.913177	1.315638	0.100000	239
2989.871005	258.347931	1.296200	0.100000	241
2991.919327	257.829163	1.268825	0.100000	243
2993.964895	257.604187	1.241847	0.100000	245
2996.008705	257.640594	1.216549	0.100000	247
2998.049629	258.148743	1.192341	0.100000	249
3000.089547	259.064392	1.166805	0.100000	251
3002.127793	260.074402	1.132956	0.100000	253
3004.167795	260.523651	1.092668	0.100000	255
3006.211400	260.245117	1.056543	0.100000	1
3008.256904	259.738342	1.027629	0.100000	3
3010.303094	259.271057	1.002590	0.100000	5
3012.348335	259.021210	0.981254	0.100000	7
3014.391820	258.965240	0.958806	0.100000	9
3016.433357	259.014404	0.933902	0.100000	11
3018.472633	261.186432	0.899402	0.100000	13
3020.517228	261.387482	0.880586	0.100000	15
3022.556158	261.576172	0.864675	0.100000	17
3024.601960	261.411041	0.852880	0.100000	19
3026.651263	261.140472	0.838964	0.100000	21
3028.708733	260.628479	0.821118	0.100000	23
3030.755258	260.065826	0.801882	0.100000	25
3032.803648	259.901886	0.779679	0.100000	27
