time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2637.539979	125.468567	1.269405	-0.045783	215
2639.588836	125.088509	1.196065	-0.044366	217
2641.637967	124.766273	1.130535	-0.041637	219
2643.685336	124.701294	1.069328	-0.039255	221
2645.729186	304.867981	-1.007924	0.038346	223
2647.772557	304.882690	-0.947412	0.037586	225
2649.816098	304.823853	-0.888578	0.036596	227
2651.860432	304.764160	-0.832476	0.035438	229
2653.906185	304.693573	-0.777897	0.034063	231
2655.952289	304.734222	-0.726072	0.032644	233
2658.001241	304.866211	-0.677244	0.030941	235
2660.050612	305.090057	-0.632476	0.029242	237
2662.099343	305.252533	-0.590577	0.028163	239
2664.143431	305.123108	-0.553429	0.027273	241
2666.180091	304.458710	-0.518879	0.026647	243
2668.213807	303.444916	-0.482653	0.024912	245
2670.254521	303.065002	-0.444058	0.022678	247
2672.306981	303.942474	-0.409626	0.020303	249
2674.367223	305.154358	-0.382913	0.019145	251
2676.421244	305.514221	-0.361398	0.019491	253
2678.460342	304.913300	-0.341588	0.019193	255
2680.487925	303.691345	-0.318455	0.018193	1
2682.519959	302.850708	-0.292892	0.016642	3
2684.556617	302.847565	-0.269084	0.015131	5
2686.608047	303.392609	-0.249100	0.013935	7
2688.657816	303.864899	-0.232476	0.013039	9
2690.714520	304.189270	-0.217740	0.012397	11
2692.760319	304.239380	-0.203640	0.011797	13
2694.812970	304.083099	-0.190226	0.011160	15
2696.854451	304.082031	-0.177970	0.010474	17
2698.886641	304.012299	-0.166194	0.009829	19
2700.922920	304.257111	-0.154247	0.008982	21
2702.937380	304.744354	-0.143043	0.008272	23
2704.967350	305.303040	-0.132648	0.007576	25
2707.012068	305.647064	-0.121358	0.007354	27
