crossing time (s)	slope (V/s)	crossing number
4036.708055	137.084446	3330
4037.717556	137.448691	3331
4038.735758	137.373294	3332
4039.753473	137.321908	3333
4040.770427	135.320690	3334
4041.791821	133.797433	3335
4042.835572	131.866674	3336
4043.830737	131.691682	3337
4044.873594	132.715001	3338
4045.881664	128.655917	3339
4046.915294	126.448517	3340
4047.926766	129.708294	3341
4048.962814	123.074928	3342
4049.981497	124.962826	3343
4050.987312	121.160198	3344
4052.004853	119.650774	3345
4053.051758	119.239009	3346
4054.038420	116.983929	3347
4055.067251	113.235599	3348
4056.078521	113.183310	3349
4057.132218	109.454015	3350
4058.115654	106.940674	3351
4059.175804	105.024490	3352
4060.173812	105.795135	3353
4061.178614	104.761964	3354
4062.213599	104.311153	3355
4063.252114	102.643267	3356
4064.251071	99.360173	3357
4065.287038	98.005421	3358
4066.303490	95.834108	3359
4067.323960	93.233767	3360
4068.364191	92.451288	3361
4069.365361	92.605921	3362
4070.391589	90.067445	3363
4071.431201	87.949300	3364
4072.423703	87.254411	3365
4073.434488	85.638235	3366
4074.470320	84.703303	3367
4075.479493	84.036515	3368
4076.498920	81.050325	3369
4077.542645	80.451877	3370
4078.554444	79.137059	3371
4079.596995	77.547663	3372
4080.585617	77.033851	3373
4081.634657	75.740180	3374
4082.640754	73.111873	3375
4083.658475	72.813080	3376
4084.677581	72.542275	3377
4085.695132	70.446770	3378
4086.709126	69.305754	3379
4087.740845	66.296411	3380
4088.774711	66.513423	3381
4089.809637	66.443489	3382
4090.835572	64.049245	3383
4091.830501	63.764671	3384
4092.841747	62.896498	3385
4093.852640	62.008856	3386
4094.870047	61.307211	3387
4095.918077	59.776214	3388
4096.936341	58.590913	3389
4097.957052	57.803539	3390
4098.969278	57.285145	3391
4099.986950	56.786967	3392
4101.017045	55.075221	3393
4102.029694	54.688018	3394
4103.050573	53.929165	3395
4104.076242	52.141776	3396
4105.064620	50.804259	3397
4106.124389	50.139781	3398
4107.140834	49.173143	3399
4108.183078	47.985558	3400
4109.167674	47.899084	3401
4110.205764	47.597719	3402
4111.205184	45.545382	3403
4112.238968	45.339824	3404
4113.266279	42.920651	3405
4114.294085	44.226262	3406
4115.311262	43.405092	3407
4116.331638	41.307680	3408
4117.339051	41.373081	3409
4118.376266	40.510798	3410
4119.380605	39.616526	3411
4120.430396	38.866168	3412
4121.433436	38.550797	3413
4122.381351	34.000047	3414
4123.477784	37.067926	3415
4124.488667	35.981403	3416
4125.521372	35.593611	3417
4126.503480	33.758935	3418
4127.566838	35.375555	3419
4128.575336	34.395119	3420
4129.583783	33.240682	3421
4130.620447	32.578906	3422
4131.627236	32.397221	3423
4132.676303	31.012087	3424
4133.652608	30.608775	3425
4134.701364	30.462029	3426
4135.711804	29.122943	3427
4136.740493	29.577034	3428
4137.769370	29.275238	3429
4138.791615	27.985605	3430
4139.805974	28.004454	3431
4140.817121	26.972418	3432
4141.852540	25.758751	3433
4142.842134	25.484040	3434
4143.892755	25.520567	3435
4144.912655	25.573732	3436
4145.942506	25.124433	3437
4146.933665	25.217304	3438
4147.977926	23.597731	3439
4148.986395	23.319802	3440
4150.004186	23.147130	3441
4151.027457	22.051780	3442
4152.050854	23.194576	3443
4153.070604	21.502442	3444
4154.082932	22.828380	3445
4155.103848	21.336260	3446
4156.123328	20.512168	3447
4157.164498	19.826232	3448
4158.182693	20.386705	3449
4159.191164	19.665438	3450
4160.203633	18.546144	3451
4161.234818	19.421791	3452
4162.260843	18.483698	3453
4163.252704	18.869850	3454
4164.326917	18.066888	3455
4165.314836	18.139394	3456
4166.342467	17.479658	3457
4167.375207	15.672107	3458
4168.367936	16.937857	3459
4169.422876	15.785269	3460
4170.388467	15.694629	3461
4171.464855	15.650924	3462
4172.454369	14.466632	3463
4173.485385	15.369004	3464
4174.493826	14.535529	3465
4175.500921	14.772918	3466
4176.559322	13.864766	3467
4177.545058	13.755056	3468
4178.592944	13.998971	3469
4179.601792	13.959065	3470
4180.650172	12.679595	3471
4181.634667	13.571858	3472
4182.681237	12.542283	3473
4183.680626	12.247309	3474
4184.712214	12.493634	3475
4185.701167	12.793522	3476
4186.746165	9.760518	3477
4187.761417	10.752792	3478
4188.820200	12.300858	3479
4189.796120	12.394049	3480
4190.839297	10.943637	3481
4191.824305	10.229464	3482
4192.890552	9.959889	3483
4193.884813	11.468830	3484
4194.944415	9.889545	3485
4195.931060	9.028682	3486
4196.960237	8.996323	3487
4198.005638	10.012342	3488
4198.963482	9.858283	3489
4200.040403	9.550583	3490
4201.011191	8.507427	3491
4202.083896	10.495249	3492
4203.052291	8.472522	3493
4204.127365	7.859104	3494
4205.132043	10.112161	3495
