time (s)	det(V)
4037.574823	-1.627949	
4037.576400	-1.628142	
4037.578055	-1.627973	
4037.579651	-1.627953	
4037.581314	-1.628017	
4037.582926	-1.628150	
4037.584559	-1.628199	
4037.586180	-1.628058	
4037.587798	-1.627949	
4037.589462	-1.628195	
4037.591065	-1.628025	
4037.592700	-1.628110	
4037.594276	-1.628038	
4037.595975	-1.628114	
4037.597530	-1.628090	
4037.599236	-1.628227	
4037.600790	-1.628138	
4037.602495	-1.628191	
4037.604045	-1.628259	
4037.605756	-1.628106	
4037.607280	-1.628183	
4037.609026	-1.628259	
4037.610508	-1.628166	
4037.612286	-1.628291	
4037.613774	-1.628348	
4037.615312	-1.628279	
4037.616840	-1.628227	
4037.618406	-1.628320	
4037.619960	-1.628158	
4037.621470	-1.628239	
4037.623127	-1.628255	
4037.624609	-1.628239	
4037.626247	-1.628267	
4037.627772	-1.628328	
4037.629414	-1.628291	
4037.630897	-1.628320	
4037.632546	-1.628303	
4037.634022	-1.628275	
4037.635711	-1.628469	
4037.637199	-1.628287	
4037.638889	-1.628328	
4037.640379	-1.628340	
4037.642089	-1.628243	
4037.643586	-1.628340	
4037.645258	-1.628191	
4037.646769	-1.628215	
4037.648431	-1.628231	
4037.649978	-1.628279	
4037.651688	-1.628187	
4037.653240	-1.628315	
4037.654925	-1.628223	
4037.656484	-1.628271	
4037.658168	-1.628158	
4037.659757	-1.628340	
4037.661425	-1.628098	
4037.663007	-1.628231	
4037.664662	-1.628021	
4037.666257	-1.628223	
4037.667901	-1.628046	
4037.669525	-1.628130	
4037.671141	-1.628138	
4037.672799	-1.628203	
4037.674380	-1.628126	
4037.676058	-1.628090	
4037.677649	-1.628058	
4037.679310	-1.628122	
4037.680883	-1.628090	
4037.682601	-1.628279	
4037.684154	-1.628146	
4037.685858	-1.628001	
4037.687403	-1.628050	
4037.689110	-1.628098	
4037.690645	-1.628070	
4037.692362	-1.628102	
4037.693869	-1.628150	
4037.695651	-1.628042	
4037.697128	-1.628005	
4037.698923	-1.628090	
4037.700405	-1.627937	
4037.702187	-1.628030	
4037.703666	-1.627977	
4037.705462	-1.627917	
4037.706956	-1.628009	
4037.708746	-1.627780	
4037.710236	-1.627256	
4037.711982	-1.454147	
4037.713490	-1.186485	
4037.715237	-0.927360	
4037.716757	-0.672117	
4037.718490	-0.428674	
4037.720022	-0.175179	
4037.721749	0.062793	
4037.723294	0.324868	
4037.725000	0.553886	
4037.726542	0.821765	
4037.728236	1.076033	
4037.729806	1.330973	
4037.731473	1.518338	
4037.733048	1.623703	
4037.734701	1.626124	
4037.736312	1.626080	
4037.737975	1.626164	
4037.739571	1.626116	
4037.741200	1.626128	
4037.742817	1.626120	
4037.744427	1.626297	
4037.746108	1.626213	
4037.747694	1.626281	
4037.749376	1.626096	
4037.750945	1.626346	
4037.752641	1.626092	
4037.754121	1.626031	
4037.755688	1.626088	
4037.757188	1.626144	
4037.758814	1.626156	
4037.760312	1.626056	
4037.761896	1.626185	
4037.763436	1.626080	
4037.764980	1.626313	
4037.766571	1.626233	
4037.768063	1.626140	
4037.769728	1.626124	
4037.771217	1.626205	
4037.772858	1.626164	
4037.774389	1.626177	
4037.776022	1.626092	
4037.777521	1.626221	
4037.779170	1.626128	
4037.780660	1.626076	
4037.782377	1.626169	
4037.783860	1.626189	
4037.785562	1.626257	
4037.787042	1.626213	
4037.788764	1.626314	
4037.790239	1.626060	
4037.791924	1.626165	
4037.793436	1.626221	
4037.795086	1.626261	
4037.796640	1.626060	
4037.798347	1.626342	
4037.799913	1.626265	
4037.801610	1.626273	
