crossing time (s)	slope (V/s)	crossing number
4049.526480	-101.182845	3603
4050.476687	-90.890086	3604
4051.517015	-90.080631	3605
4052.540023	-95.551234	3606
4053.620183	-88.720637	3607
4054.570748	-86.775610	3608
4055.658981	-90.677397	3609
4056.661055	-82.807434	3610
4057.716377	-87.446617	3611
4058.667693	-76.697712	3612
4059.751276	-79.229313	3613
4060.726932	-74.492478	3614
4061.813006	-75.037838	3615
4062.747502	-69.668040	3616
4063.860408	-72.257027	3617
4064.778305	-66.699253	3618
4065.907104	-71.991735	3619
4066.841976	-66.015723	3620
4067.929008	-67.425969	3621
4068.880959	-63.579478	3622
4069.983648	-65.148342	3623
4070.948233	-62.846613	3624
4071.998540	-62.807505	3625
4072.976012	-59.113909	3626
4074.074247	-61.284314	3627
4075.041357	-57.381357	3628
4076.115986	-58.788547	3629
4077.082423	-56.198450	3630
4078.156643	-56.074694	3631
4079.126931	-53.223225	3632
4080.213547	-53.914651	3633
4081.164462	-51.951433	3634
4082.260556	-52.016913	3635
4083.194276	-48.399685	3636
4084.306723	-49.639826	3637
4085.213331	-47.076675	3638
4086.375526	-47.394255	3639
4087.275244	-44.650019	3640
4088.387192	-44.949377	3641
4089.312698	-43.082349	3642
4090.434593	-45.295638	3643
4091.367762	-41.677301	3644
4092.462383	-41.680954	3645
4093.427222	-39.701431	3646
4094.527406	-40.301058	3647
4095.462414	-37.410818	3648
4096.558012	-38.205202	3649
4097.505414	-34.939521	3650
4098.603639	-38.331002	3651
4099.564218	-34.296043	3652
4100.648783	-34.242019	3653
4101.559270	-31.185185	3654
4102.705748	-33.219648	3655
4103.609439	-30.490635	3656
4104.747938	-30.917613	3657
4105.622252	-28.997114	3658
4106.824905	-29.605703	3659
4107.707658	-26.674555	3660
4108.855144	-29.648741	3661
4109.719323	-25.425576	3662
4110.902767	-27.699052	3663
4111.784137	-25.205978	3664
4112.923917	-26.397468	3665
4113.829363	-22.666173	3666
4114.976360	-26.431369	3667
4115.903394	-22.510479	3668
4117.028843	-24.354702	3669
4117.943910	-21.929460	3670
4119.051245	-24.317611	3671
4119.981331	-22.508346	3672
4121.100958	-22.414879	3673
4122.030377	-20.620709	3674
4123.155383	-21.548308	3675
4124.071100	-19.559506	3676
4125.193618	-21.070967	3677
4126.089566	-19.201161	3678
4127.231682	-19.785603	3679
4128.129588	-17.565582	3680
4129.308217	-20.024934	3681
4130.207920	-16.988986	3682
4131.303269	-18.398348	3683
4132.247827	-16.119978	3684
4133.363693	-16.473021	3685
4134.285166	-16.018351	3686
4135.409556	-16.110204	3687
4136.304980	-14.499404	3688
4137.480994	-15.388900	3689
4138.342457	-12.044445	3690
4139.533898	-14.270142	3691
4140.385020	-12.603828	3692
4141.582276	-13.678653	3693
4142.414263	-11.989155	3694
4143.621670	-12.272094	3695
4144.453566	-10.847328	3696
4145.638816	-11.621289	3697
4146.481578	-10.750661	3698
4147.699278	-12.820350	3699
4148.553746	-11.150475	3700
4149.726859	-12.782665	3701
4150.610459	-10.378780	3702
4151.762429	-11.119516	3703
4152.662942	-9.075048	3704
4153.832624	-10.732927	3705
4154.712667	-8.618866	3706
4155.858567	-10.171248	3707
4156.742092	-9.117014	3708
4157.907362	-10.003206	3709
4158.802602	-8.560701	3710
4159.933663	-8.137294	3711
4160.817136	-7.682765	3712
4161.992089	-9.196814	3713
4162.875387	-8.386390	3714
4164.020507	-8.357129	3715
4164.910489	-6.600136	3716
4166.068758	-8.977642	3717
4166.933219	-5.798832	3718
4168.126953	-7.430289	3719
4168.971204	-5.911199	3720
4170.200555	-8.037496	3721
4170.997382	-5.581266	3722
4172.257736	-6.205589	3723
4173.016041	-5.363185	3724
4174.313938	-5.975336	3725
4175.043314	-3.936252	3726
4176.344312	-4.534525	3727
4177.096488	-4.263367	3728
4178.396101	-4.965876	3729
4179.152287	-4.117406	3730
4180.418683	-5.073593	3731
4181.201669	-3.879527	3732
4182.439270	-4.662624	3733
4183.276131	-4.620245	3734
4184.483798	-5.047080	3735
4185.329761	-5.282376	3736
4186.550004	-4.335158	3737
4187.375886	-4.193036	3738
4188.578080	-4.100494	3739
4189.404770	-4.987202	3740
4190.633615	-4.417581	3741
4191.439304	-4.411030	3742
4192.663994	-4.389004	3743
4193.491425	-3.351127	3744
