time (s)	det(V)
2452.552763	0.145926	
2452.554468	0.139440	
2452.556033	0.117961	
2452.557710	0.129225	
2452.559263	0.134131	
2452.560959	0.126175	
2452.562496	0.129148	
2452.564237	0.128898	
2452.565725	0.134332	
2452.567490	0.137748	
2452.568974	0.151529	
2452.570745	0.147561	
2452.572237	0.126626	
2452.574021	0.131589	
2452.575508	0.159207	
2452.577297	0.130211	
2452.578776	0.132878	
2452.580522	0.161701	
2452.582023	0.146212	
2452.583758	0.115613	
2452.585281	0.175486	
2452.586988	0.137076	
2452.588526	0.159308	
2452.590225	0.140351	
2452.591781	0.150083	
2452.593490	0.128955	
2452.595037	0.128991	
2452.596727	0.124785	
2452.598297	0.167594	
2452.599939	0.142333	
2452.601520	0.148838	
2452.603161	0.134840	
2452.604780	0.129092	
2452.606425	0.124125	
2452.608034	0.141076	
2452.609642	0.130945	
2452.611286	0.108128	
2452.612885	0.113679	
2452.614558	0.158551	
2452.616040	0.116507	
2452.617620	0.113176	
2452.619101	0.140770	
2452.620747	0.098194	
2452.622230	0.112684	
2452.623856	0.087745	
2452.625364	0.112487	
2452.626932	0.081791	
2452.628481	0.098106	
2452.629973	0.080675	
2452.631644	0.078923	
2452.633130	0.076127	
2452.634767	0.060119	
2452.636292	0.066786	
2452.637946	0.050318	
2452.639426	0.041081	
2452.641073	0.013406	
2452.642544	0.014566	
2452.644248	-0.039667	
2452.645739	-0.037439	
2452.647443	-0.025145	
2452.648934	-0.028589	
2452.650648	-0.065887	
2452.652140	-0.062947	
2452.653826	-0.087733	
2452.655328	-0.105679	
2452.656991	-0.123315	
2452.658514	-0.119742	
2452.660134	-0.171788	
2452.661685	-0.144883	
2452.663368	-0.178942	
2452.664934	-0.167272	
2452.666590	-0.237751	
2452.668187	-0.226436	
2452.669817	-0.273922	
2452.671416	-0.306092	
2452.673056	-0.348107	
2452.674678	-0.351108	
2452.676299	-0.390155	
2452.677974	-0.422059	
2452.679552	-0.460497	
2452.681227	-0.481070	
2452.682811	-0.519258	
2452.684501	-0.572642	
2452.686084	-0.583385	
2452.687763	-0.614565	
2452.689316	-0.699022	
2452.691023	-0.745602	
2452.692574	-0.794139	
2452.694307	-0.862226	
2452.695848	-0.894247	
2452.697575	-0.938977	
2452.699065	-1.025498	
2452.700842	-1.064734	
2452.702337	-1.111317	
2452.704107	-1.229439	
2452.705588	-1.275020	
2452.707361	-1.367131	
2452.708847	-1.430299	
2452.710625	-1.532095	
2452.712108	-1.609906	
2452.713864	-1.627836	
2452.715364	-1.627901	
2452.717107	-1.627897	
2452.718632	-1.628005	
2452.720384	-1.627856	
2452.721901	-1.628070	
