time (s)	magX	magY	magZ
2452.861007	329.475159	195.000595	898.438965
2452.864349	341.456451	172.031570	903.757385
2452.867676	353.905304	148.887207	905.160156
2452.871010	365.945068	125.918175	905.686096
2452.874348	377.692566	102.656914	904.692566
2452.877674	387.862061	79.395676	900.250732
2452.881005	398.206879	56.251312	896.159607
2452.884340	407.149048	32.990063	888.561646
2452.887679	415.915833	11.131502	879.561096
2452.891008	422.987732	-11.603741	869.099365
2452.894361	429.066040	-32.702515	857.994751
2452.897686	434.852142	-53.684395	845.078308
2452.901012	438.826416	-73.555817	829.298035
2452.904341	442.216278	-92.550560	813.050293
2452.907675	444.437195	-110.551720	796.802429
2452.911048	445.196960	-128.202209	778.333740
2452.914340	445.781433	-144.683807	758.988281
2452.917690	444.554047	-159.704254	738.707764
2452.921008	443.092926	-174.140259	718.719482
2452.924339	440.930420	-188.225586	697.912903
2452.927671	438.008179	-200.148453	676.697205
2452.931004	434.735229	-211.662186	655.481628
2452.935702	424.215057	-231.650482	612.407349
2452.938544	419.013428	-240.358841	589.146118
2452.941943	412.876678	-247.138519	569.391541
2452.945328	406.097015	-254.035049	547.299194
2452.948525	399.025116	-259.353577	526.025146
2452.951848	391.661011	-264.672119	504.225006
2452.955226	384.063110	-268.529510	484.470490
2452.958085	375.705414	-272.036224	463.079468
2452.961440	368.691986	-275.250732	442.565186
2452.964757	360.626556	-276.478088	424.388672
2452.968115	352.151947	-277.705414	405.335449
2452.971445	344.670959	-278.815887	387.334290
2452.974789	335.495026	-278.932770	370.151367
2452.977700	328.014038	-278.289886	351.624207
2452.981004	319.890137	-278.056122	334.207489
2452.984331	312.526001	-276.653412	318.836365
2452.987666	304.635895	-274.841614	303.348328
2452.991000	297.037994	-272.620697	288.795441
2452.994334	288.972534	-270.165985	272.664520
2452.997665	281.374634	-267.360596	259.397430
2453.000999	274.068970	-264.146088	245.896561
2453.004352	267.347748	-261.399200	232.921677
2453.007665	259.574524	-257.950897	220.706604
2453.010995	253.087082	-254.444183	208.608414
2453.014335	245.489182	-250.236115	197.737579
2453.017665	238.475739	-246.144958	187.100525
2453.021001	231.111633	-242.053757	176.288132
2453.024327	224.624191	-238.021027	166.410873
2453.027665	218.078308	-233.696091	156.708954
2453.030998	211.532440	-230.014023	147.883698
2453.034330	205.512558	-226.273529	139.818237
2453.037662	199.375793	-221.481003	131.694336
2453.041012	194.349503	-217.389832	124.505547
2453.044330	188.388077	-213.123306	117.725891
2453.047665	182.192856	-209.324371	109.952652
2453.050995	177.166565	-205.057861	104.634132
2453.054325	171.731155	-201.200455	98.906487
2453.057660	166.821747	-198.278198	92.711281
2453.060999	162.438339	-194.362350	87.918762
2453.064325	157.587372	-190.329620	83.886032
2453.067662	152.327286	-186.822906	78.158386
2453.070990	148.177673	-182.556396	74.125656
2453.074325	144.203384	-179.400345	69.683807
2453.077656	139.703094	-176.244293	65.709526
2453.080991	136.021042	-173.438919	62.378139
2453.084358	132.163651	-169.932205	59.514317
