time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2381.936974	74.223129	1.866522	0.100000	99
2383.994792	68.554482	1.841455	0.100000	101
2386.039870	76.107643	1.766518	0.100000	103
2388.083053	69.157753	1.738780	0.100000	105
2390.128073	72.421341	1.694334	0.100000	107
2392.176077	72.571671	1.643933	0.100000	109
2394.226444	68.965248	1.586728	0.100000	111
2396.280494	73.229538	1.526849	0.100000	113
2398.329098	71.765694	1.462018	0.100000	115
2400.365648	71.438629	1.470445	0.100000	117
2402.410267	75.897995	1.420719	0.100000	119
2404.473482	72.494797	1.348321	0.100000	121
2406.522318	71.141808	1.289587	0.100000	123
2408.557484	72.664543	1.287042	0.100000	125
2410.599904	74.246094	1.255536	0.100000	127
2412.648985	77.191467	1.217983	0.100000	129
2414.700387	68.860092	1.178776	0.100000	131
2416.750590	68.641586	1.147266	0.100000	133
2418.795938	68.526192	1.115103	0.100000	135
2420.840095	76.171913	1.076791	0.100000	137
2422.889401	73.510262	1.024495	0.100000	139
2424.948662	64.478325	0.978359	0.100000	141
2427.011902	73.247116	0.916678	0.100000	143
2429.058004	72.191948	0.928832	0.100000	145
2431.089962	77.291893	0.935502	0.100000	147
2433.128778	74.430679	0.888520	0.100000	149
2435.179870	72.525673	0.831536	0.100000	151
2437.236045	75.407845	0.794054	0.100000	153
