time (s)	magX	magY	magZ
2621.223206	410.177673	270.142029	477.925751
2621.226541	410.177673	272.304504	475.821716
2621.229869	410.528351	274.759186	474.302155
2621.233236	411.521912	276.804810	472.081207
2621.236539	411.171265	278.967285	469.626526
2621.239877	411.697266	281.480408	467.756256
2621.243206	411.171265	284.811798	465.243103
2621.246554	411.405029	287.149597	462.846863
2621.249871	411.229675	289.428986	460.216797
2621.253206	411.638794	292.701935	457.411438
2621.256537	410.879028	296.267090	455.190521
2621.259872	410.586792	299.189362	451.625336
2621.263212	410.294556	302.345398	448.177063
2621.266533	410.586792	305.501465	444.904114
2621.269875	410.469910	308.774384	441.222076
2621.273207	409.826996	312.514893	437.832245
2621.276567	409.359436	315.261841	434.500854
2621.279871	409.300995	318.534760	430.059021
2621.283204	409.476318	322.333740	424.857361
2621.286532	409.359436	325.197540	421.584442
2621.289874	409.125671	328.879608	417.376373
2621.293204	408.833435	332.561646	412.583862
2621.296536	409.300995	336.360626	406.563965
2621.299868	409.184113	339.224426	402.180573
2621.303201	408.950317	343.900055	396.745178
2621.306537	410.294556	346.822327	392.303314
2621.309870	410.002350	350.562836	386.341888
2621.313253	410.703674	354.361755	380.731140
2621.316530	410.703674	357.400940	374.886597
2621.319864	411.697266	361.375244	369.684937
2621.323197	412.398590	364.414368	362.905304
2621.327839	413.625946	371.252472	350.456421
2621.331154	414.268860	374.700745	343.793671
2621.334090	414.794861	378.616577	337.598450
2621.337400	415.087097	381.889526	331.637024
2621.340790	415.554657	385.162506	324.623596
2621.344160	416.022217	387.850983	317.668579
2621.347381	415.613098	390.890106	310.362915
2621.350292	416.022217	394.279968	303.641724
2621.353617	415.788422	396.910004	295.693146
2621.356949	415.729980	399.832275	288.504395
2621.360289	415.028625	402.988312	280.029785
2621.363662	413.976624	405.735260	271.613647
2621.366950	413.333740	408.949738	263.197540
2621.369864	412.223267	411.404449	255.365845
2621.373190	410.469910	414.151367	245.897705
2621.376530	408.307434	416.839844	236.604889
2621.379859	406.437164	419.586792	226.669189
2621.383217	403.748688	422.275269	216.441223
2621.386524	401.060211	423.970184	206.505524
2621.389854	397.670380	427.009369	196.102264
2621.393199	394.923431	428.470490	185.172974
2621.396523	391.007599	430.165405	174.769684
2621.399855	387.033325	431.042084	162.554626
2621.403194	383.175934	432.503235	151.216217
2621.406527	378.850952	433.204559	139.527161
2621.409860	374.584473	433.321442	127.312073
2621.413211	369.558167	432.737000	114.980103
2621.416528	364.940979	432.269440	102.297485
2621.419857	360.031555	431.568085	89.848602
2621.423184	355.355927	429.873169	77.049103
2621.426532	349.452942	427.652252	64.366425
2621.429851	344.017548	425.372894	51.333130
2621.433183	338.640564	422.567505	36.897125
2621.436524	333.848053	418.476349	24.506714
2621.439850	329.289307	414.735840	10.947327
2621.443187	324.379883	410.118652	-2.319702
2621.446520	319.470490	405.033905	-16.171265
2621.449855	314.911743	399.247803	-28.795471
2621.453185	310.060791	393.344818	-41.653442
2621.456549	306.144958	386.039154	-54.862061
2621.459857	301.060211	378.908813	-68.070740
2621.463187	296.033905	370.901825	-81.454712
2621.466518	291.825836	362.719452	-93.319153
2621.469853	286.916443	353.601990	-105.768005
2621.473180	282.474579	344.075378	-117.281738
2621.476519	277.331390	334.607239	-128.503235
2621.479848	272.363525	324.437744	-139.841614
2621.484516	262.194031	302.812958	-159.888367
2621.487417	256.817078	291.533020	-169.181213
2621.490795	250.621857	279.376373	-178.006409
2621.494146	245.186432	267.336639	-186.481018
2621.497360	237.530106	254.478668	-193.085327
2621.500716	231.919342	241.445343	-199.105225
2621.504039	224.789017	228.412048	-205.826416
2621.506933	217.191116	214.326691	-211.437195
2621.510270	210.060791	200.475159	-216.814148
2621.513612	201.878433	186.039154	-220.145508
2621.516976	193.579193	171.194031	-222.658691
2621.520285	185.805969	156.758026	-224.470459
2621.523251	177.798950	141.971359	-226.165405
2621.526513	169.265930	126.366455	-226.048523
2621.529843	160.557571	111.988892	-225.464050
2621.533177	152.901230	97.260666	-224.470459
2621.536509	144.718887	82.415543	-221.957336
2621.539845	137.588547	65.875504	-217.690857
2621.543191	129.230865	51.322617	-212.722961
2621.546514	122.275848	36.652832	-207.813538
2621.549844	115.496216	21.690823	-202.261292
2621.553172	109.826996	7.430153	-195.306274
2621.556506	104.625366	-6.129166	-187.123962
2621.559840	99.540619	-20.506729	-179.526001
2621.563171	94.981888	-34.007607	-171.051453
2621.566505	91.241394	-46.807137	-161.933960
2621.569837	87.267090	-59.314445	-152.056702
2621.573170	85.747528	-71.295738	-142.179443
2621.576508	83.292816	-82.809471	-131.308594
2621.579862	81.773224	-94.440102	-120.905334
2621.583170	80.545868	-105.310921	-110.151428
2621.586546	80.312103	-115.305092	-99.222107
2621.589845	80.955017	-124.948586	-87.766785
2621.593167	80.721222	-133.890717	-76.603760
2621.596506	81.481018	-142.248413	-64.447144
2621.599837	82.416138	-151.073639	-52.874939
2621.603170	84.052612	-158.437775	-41.302734
2621.606502	85.981293	-164.925201	-29.263062
2621.609838	88.026886	-170.886627	-16.697266
2621.613171	89.780243	-177.198700	-3.897705
2621.616499	91.592041	-182.283447	8.726440
2621.619833	94.397430	-187.017548	20.707733
2621.623170	96.969040	-190.232025	34.033295
2621.626505	99.423721	-194.556976	46.774384
2621.629847	101.586197	-197.245453	59.632385
2621.633167	104.040909	-200.459961	72.957886
2621.637436	109.417892	-204.901825	98.732300
2621.640766	111.171249	-205.661591	111.181152
2621.644076	113.392166	-207.707184	124.915833
2621.647346	115.320877	-207.181183	138.124481
2621.650683	118.126251	-207.122742	151.040894
2621.654022	119.821167	-207.414978	163.957306
2621.657361	122.626541	-206.713623	177.575073
2621.660700	124.672134	-206.129150	190.549957
2621.663621	127.302170	-204.551117	202.648163
2621.666966	129.406189	-203.089996	214.980103
2621.670310	132.094696	-201.628876	226.493835
2621.673605	134.724716	-199.875488	239.468689
2621.676923	136.887192	-197.946808	250.047302
2621.680254	139.400345	-195.433655	261.794830
2621.683166	142.497955	-193.154297	273.483917
2621.686500	145.478683	-190.056671	283.594971
2621.689831	148.050262	-187.543549	293.413757
2621.693161	151.615433	-185.088837	304.109253
2621.696502	155.063705	-182.341919	313.518982
2621.699822	157.635300	-178.952087	322.344238
2621.703158	161.551147	-176.555817	331.344788
2621.706493	164.707184	-172.756866	339.936279
