time (s)	det(V)
5816.327284	0.769297	
5816.328858	0.712602	
5816.330534	0.766428	
5816.332109	0.751628	
5816.333780	0.746605	
5816.335338	0.726822	
5816.337044	0.737046	
5816.338583	0.741529	
5816.340300	0.742089	
5816.341786	0.730246	
5816.343357	0.744949	
5816.344843	0.766839	
5816.346461	0.742605	
5816.347977	0.776495	
5816.349532	0.735035	
5816.351089	0.749042	
5816.352589	0.744337	
5816.354233	0.768769	
5816.355717	0.731628	
5816.357336	0.749058	
5816.358850	0.796475	
5816.360466	0.829641	
5816.361937	0.812601	
5816.363575	0.857021	
5816.365051	0.887479	
5816.366737	0.862161	
5816.368222	0.902614	
5816.369924	0.908958	
5816.371403	0.991043	
5816.373073	0.974366	
5816.374599	0.970757	
5816.376227	1.026142	
5816.377773	1.065878	
5816.379392	1.107667	
5816.380966	1.154460	
5816.382537	1.180354	
5816.384124	1.198067	
5816.385759	1.208851	
5816.387379	1.303242	
5816.388983	1.293663	
5816.390634	1.344158	
5816.392219	1.389839	
5816.393873	1.507220	
5816.395452	1.506668	
5816.397111	1.585527	
5816.398685	1.613769	
5816.400380	1.617898	
5816.401945	1.625798	
5816.403656	1.625339	
5816.405193	1.625778	
5816.406886	1.625713	
5816.408394	1.625967	
5816.410128	1.625733	
5816.411609	1.625947	
5816.413375	1.625903	
5816.414866	1.626003	
5816.416644	1.625754	
5816.418124	1.625931	
5816.419891	1.625802	
5816.421380	1.626003	
5816.423122	1.625862	
5816.424622	1.626027	
5816.426362	1.625665	
5816.427878	1.625987	
5816.429586	1.625915	
5816.431129	1.626052	
5816.432837	1.625951	
5816.434377	1.625955	
5816.436051	1.625814	
5816.437625	1.625923	
5816.439292	1.625971	
5816.440882	1.625899	
5816.442532	1.625878	
5816.444138	1.625875	
5816.445751	1.625931	
5816.447378	1.625899	
5816.449013	1.626136	
5816.450631	1.625979	
5816.452235	1.625943	
5816.453886	1.625907	
5816.455456	1.625951	
5816.457119	1.625858	
5816.458684	1.626056	
5816.460380	1.625927	
5816.461913	1.625979	
5816.463605	1.625919	
5816.465138	1.625951	
5816.466846	1.625874	
5816.468354	1.625987	
5816.470114	1.625923	
5816.471592	1.626116	
5816.473379	1.625854	
