time (s)	magX	magY	magZ
2220.959906	369.499695	328.119812	448.352417
2220.963238	368.739929	331.100525	445.079468
2220.966577	367.863251	333.730591	442.157196
2220.969906	366.811218	336.886627	439.644043
2220.973242	365.583862	339.750458	436.488007
2220.976570	365.057861	343.023407	433.039734
2220.979904	364.298065	345.711884	430.409668
2220.983256	363.947388	349.101715	426.435394
2220.986567	362.603149	352.491516	423.396240
2220.989905	361.668030	355.413788	419.597290
2220.993237	360.616028	357.985413	416.149017
2220.996570	359.856232	361.842804	413.109863
2220.999899	358.804199	364.706604	408.551117
2221.004576	357.050842	370.901825	400.427216
2221.007859	355.823486	374.291656	395.985382
2221.010745	354.654602	377.564606	391.952637
2221.014098	352.959686	380.545288	387.160126
2221.017441	351.673889	383.935150	382.309143
2221.020875	349.628296	387.324951	376.873749
2221.024144	347.991821	390.890106	372.139648
2221.027498	345.478668	394.279968	367.171814
2221.030331	343.491516	398.604919	361.502625
2221.033659	342.147278	401.819427	355.248962
2221.036988	340.101685	405.209229	349.229065
2221.040328	338.056122	407.839264	343.209229
2221.043646	335.835175	412.105804	336.838684
2221.046565	332.971375	414.911163	329.591431
2221.049903	330.224426	418.768555	323.220886
2221.053226	327.302155	422.099945	315.622986
2221.056560	324.672119	425.372894	307.791321
2221.059896	321.457642	428.236694	299.492065
2221.063247	317.658691	431.626526	292.011078
2221.066557	314.327301	434.957916	284.471649
2221.069898	310.879028	438.347748	275.880188
2221.073272	306.729401	440.393341	268.106934
2221.076569	303.105774	443.724731	259.398590
2221.079893	298.897705	445.361206	250.690247
2221.083228	294.981873	447.582123	242.274078
2221.086558	290.656921	449.335480	232.981293
2221.089899	285.747528	450.913513	224.097595
2221.093225	281.364105	452.082428	214.629456
2221.096563	277.156067	453.251312	204.635284
2221.099892	271.837524	454.537140	196.043823
2221.103230	267.571014	455.647583	186.634125
2221.106593	262.661621	456.115143	176.581512
2221.109887	257.576843	456.582703	166.061340
2221.113225	252.667450	456.173584	156.768555
2221.116559	247.524261	455.764465	147.008179
2221.119890	242.088837	455.589111	137.949158
2221.123221	236.770309	454.829346	128.071869
2221.126556	230.750443	453.485107	118.428406
2221.129891	225.490356	451.322632	107.265320
2221.133222	220.347168	449.510803	97.154266
2221.136553	214.619522	447.231445	87.452362
2221.139884	208.190536	444.776733	77.575104
2221.144512	196.267685	437.295746	57.995880
2221.147836	190.247818	433.204559	47.008179
2221.150786	184.286377	428.412048	36.780243
2221.154083	178.091187	423.268860	26.727600
2221.157417	170.376389	417.774994	16.149048
2221.160819	164.064285	412.631805	5.921082
2221.164154	157.576859	406.085907	-3.371704
2221.167399	150.446518	398.078918	-13.658081
2221.170314	143.842194	390.890106	-22.658691
2221.173656	135.718307	382.824646	-32.068420
2221.176974	128.529526	373.531860	-42.413269
2221.180309	121.925186	364.706604	-50.712463
2221.183637	114.210419	354.829346	-59.420837
2221.186549	106.963181	343.374054	-68.655151
2221.189880	99.423721	333.321442	-76.895935
2221.193220	91.767395	321.106384	-84.084778
2221.196544	85.163086	309.651093	-91.507324
2221.199885	77.331390	296.968414	-98.520752
2221.203226	70.551727	284.052002	-104.423706
2221.206547	62.720032	270.492676	-110.735840
2221.209878	55.765045	257.459381	-115.411499
2221.213212	49.277618	243.374054	-118.509094
2221.216549	42.439514	229.580933	-123.126282
2221.219881	36.419647	215.320282	-127.392761
2221.223240	30.516663	201.176498	-129.555237
2221.226542	24.730560	186.331390	-132.302185
2221.229876	19.119812	172.012268	-132.828186
2221.233209	14.268860	156.991821	-135.049133
2221.236564	9.826996	142.789581	-134.523132
2221.239877	5.735840	128.119812	-134.230896
2221.243217	1.293976	113.917587	-133.295715
2221.246548	-1.978973	99.715363	-131.776184
2221.249874	-5.719482	85.688484	-129.847473
2221.253208	-8.466370	70.784920	-128.210999
2221.256547	-11.037994	57.576267	-124.762756
2221.259873	-12.908234	44.484509	-120.846924
2221.263215	-15.479828	31.392750	-116.580383
2221.266544	-16.765625	18.593216	-112.489197
2221.269881	-17.992981	6.085907	-107.872009
2221.273208	-19.220337	-6.012276	-102.202820
2221.276543	-19.044983	-18.110466	-96.066040
2221.279888	-19.395691	-29.916428	-89.812378
2221.283203	-19.103455	-40.845703	-83.734070
2221.286542	-18.694336	-52.067223	-75.668640
2221.291188	-17.291626	-72.815315	-59.479248
2221.294073	-16.590302	-82.984810	-51.706055
2221.297451	-14.953827	-91.810051	-42.120972
2221.300831	-12.849792	-101.395088	-32.652893
2221.304114	-11.096436	-110.220345	-23.944458
2221.307425	-9.109283	-118.636482	-13.365906
2221.310756	-6.420807	-125.942146	-3.196411
2221.314052	-3.440094	-133.481598	7.382263
2221.316964	-0.693146	-140.319702	18.545288
2221.320297	2.521332	-147.683807	29.883667
2221.323641	5.735840	-153.937469	42.157196
2221.326983	8.774994	-159.957336	54.547638
2221.330312	12.690826	-164.925201	65.944458
2221.333647	16.489777	-169.834595	77.691956
2221.336572	20.288727	-173.750427	90.023926
2221.339869	24.789032	-178.367615	102.297485
2221.343203	28.471069	-182.049683	114.804779
2221.346534	32.620697	-184.445923	126.902954
2221.349862	37.062531	-188.244873	137.773773
2221.353203	41.971954	-190.407349	150.164215
2221.356533	46.822906	-192.219177	161.385712
2221.359869	51.264771	-194.381653	172.841003
2221.363205	55.940399	-195.433655	184.296295
2221.366572	60.732910	-196.427216	194.641113
2221.369860	65.233215	-197.070129	206.213318
2221.373200	70.493286	-197.596161	216.090576
2221.376530	75.344269	-198.063721	225.967834
2221.379865	79.902985	-198.122131	236.195770
2221.383194	84.403290	-197.946808	244.787262
2221.386528	88.611359	-197.128571	254.722931
2221.389861	94.046768	-196.368805	263.781982
2221.393193	97.845703	-195.959656	272.899445
2221.396524	103.339584	-195.024536	280.438904
2221.399855	107.138519	-193.972534	288.796600
2221.403204	111.521912	-192.628296	296.160706
2221.406528	116.489777	-191.400940	303.933960
2221.409898	120.288727	-190.173584	311.122711
2221.413197	124.905899	-188.595551	317.960815
2221.416527	128.529526	-187.368195	325.324921
2221.419857	132.854462	-185.614838	331.753937
2221.423191	137.120987	-183.160156	338.416687
2221.426527	141.153717	-181.231445	344.962585
2221.429859	144.543549	-179.127411	351.099335
2221.433191	149.102280	-177.374054	357.119202
2221.436529	153.251907	-175.328461	363.197510
2221.439851	156.700180	-173.633575	369.684937
2221.444521	163.888962	-168.548798	380.672699
2221.447434	168.213913	-166.386322	386.049683
2221.450781	172.071304	-163.873169	391.368164
2221.454097	176.045593	-161.710693	396.511353
2221.457372	178.909409	-159.197540	402.414368
2221.460702	182.416138	-157.151978	407.323761
2221.464071	185.513733	-154.463470	412.408508
2221.466943	189.195786	-151.599670	418.077728
2221.470277	192.234955	-148.092926	422.461121
2221.473630	195.624786	-145.579773	427.428955
2221.476959	198.021042	-144.001770	431.344818
2221.480337	201.235535	-140.904144	435.611328
2221.483612	204.742249	-138.274109	440.754517
2221.486522	206.846283	-135.410309	444.085876
2221.489856	210.060791	-132.838684	449.053741
2221.493185	212.983047	-130.910004	451.450012
2221.496543	215.613098	-128.104614	455.658081
2221.499854	218.535370	-125.942146	458.521912
2221.503183	221.223846	-123.370552	461.619507
2221.506518	223.210999	-121.032738	464.424866
2221.509849	225.548798	-118.928703	467.814697
2221.513188	228.237289	-116.590889	470.678528
2221.516516	230.691986	-114.311516	473.250122
2221.519848	232.679138	-112.616600	475.821716
2221.523184	234.841614	-110.337227	478.042664
2221.526511	236.653427	-108.525429	480.672699
2221.529852	238.465225	-106.888954	482.367615
2221.533182	239.867920	-105.018715	484.004089
2221.536531	242.381073	-102.797783	485.056091
2221.539869	243.783752	-100.869087	487.510803
2221.543175	245.303345	-99.349510	489.439484
2221.546515	247.465820	-97.537712	490.725281
2221.549851	248.634720	-95.901222	492.361755
2221.553177	250.621857	-93.680305	493.647552
2221.556513	251.790771	-92.394508	494.991791
2221.559845	253.193451	-91.167168	496.569824
2221.563176	253.894806	-89.939812	497.797180
2221.566512	256.115723	-88.303337	498.966095
2221.569846	256.992401	-86.783760	501.070129
2221.573176	259.037994	-85.381065	502.297455
2221.576506	259.739319	-84.153709	502.765045
2221.579846	261.434265	-82.400352	504.226166
2221.583198	262.720062	-81.289894	505.921082
2221.586512	264.473419	-79.653435	506.856201
2221.589848	265.408539	-78.250725	508.141998
2221.593175	266.285217	-77.374046	509.310913
2221.597427	268.681458	-74.510231	511.648712
2221.600755	270.084167	-72.698418	512.817627
2221.604024	271.253052	-71.471077	514.278748
2221.607375	271.954407	-70.477501	514.220337
2221.610683	273.240204	-69.367043	516.441223
2221.614041	273.941559	-67.379906	517.551697
2221.617371	274.876678	-66.736992	517.551697
2221.620278	276.513153	-65.042091	519.188171
2221.623622	277.097595	-63.990074	519.889526
2221.627000	278.500305	-62.528938	520.766174
2221.630262	279.493866	-61.827583	522.461121
2221.633607	279.493866	-60.191124	522.519531
2221.636935	280.545898	-59.314445	523.571594
2221.640264	281.773254	-58.437767	524.448242
2221.643174	281.831665	-57.736412	524.565125
2221.646505	282.299255	-57.210411	525.383362
2221.649834	283.292816	-56.450615	525.734070
2221.653168	284.344849	-55.457039	526.552307
2221.656508	285.221497	-54.755699	527.195190
2221.659836	285.513733	-54.112801	527.078308
2221.663166	285.689087	-53.528358	526.961426
2221.666508	286.507324	-52.768562	528.188782
2221.669855	286.741089	-52.359451	528.071899
2221.673164	287.150208	-52.067223	529.007019
2221.676509	287.910004	-51.248978	529.299194
2221.679843	288.260681	-51.658089	530.059021
2221.683165	289.312683	-50.956749	529.007019
2221.686501	289.429565	-51.015198	529.474548
2221.689839	289.955566	-50.664528	529.883667
2221.693168	290.832275	-50.021622	529.007019
2221.696500	290.715363	-50.430748	529.942139
2221.699838	291.182922	-49.203392	530.292786
2221.703160	291.358276	-50.080070	530.468140
2221.706497	292.001160	-49.787842	530.818787
2221.709829	292.001160	-48.911163	529.474548
2221.713193	292.468750	-48.852715	530.643494
2221.716493	292.059631	-48.560501	529.649902
2221.719826	292.819397	-48.618935	530.468140
2221.723161	292.877838	-49.028061	531.870789
2221.726499	292.819397	-48.911163	530.585022
2221.729827	292.877838	-48.618935	530.818787
2221.733161	293.871429	-48.326714	531.111023
2221.736498	294.280548	-48.385155	530.994141
2221.739826	294.280548	-47.976036	531.403259
2221.743171	294.338989	-47.683807	531.870789
2221.746489	294.748108	-47.800705	530.994141
2221.749827	294.981873	-47.274696	530.935669
2221.754444	294.864990	-47.450027	531.637024
2221.757362	295.624786	-47.040916	531.987732
2221.760686	295.683228	-47.566925	532.046143
2221.764027	295.741669	-47.216248	532.163025
2221.767412	296.150787	-48.385155	531.987732
2221.770735	296.384583	-47.566925	532.279907
2221.773591	296.384583	-47.917595	532.572144
2221.776913	296.501465	-47.917595	532.279907
2221.780268	296.618347	-48.092934	532.221497
2221.783580	296.501465	-48.151375	532.163025
2221.786919	296.501465	-49.144943	532.279907
2221.789815	296.150787	-48.969612	531.987732
2221.793152	296.150787	-49.495621	532.104614
2221.796489	296.326111	-49.963188	530.877258
2221.799847	296.150787	-50.430748	530.818787
2221.803159	296.618347	-51.073647	530.526550
2221.806488	296.033905	-51.716537	531.111023
2221.809820	296.326111	-52.359451	529.299194
2221.813150	295.858582	-53.236122	529.591431
2221.816483	296.092346	-53.762138	529.708313
2221.819823	296.384583	-54.463478	527.545837
2221.823157	295.332550	-55.457039	528.773193
2221.826486	295.975464	-56.158394	527.370544
2221.829818	295.858582	-57.677971	526.201599
2221.833151	295.449463	-57.911751	526.143188
2221.836483	295.800110	-58.496193	525.441833
2221.839819	295.274109	-60.308022	524.448242
2221.843190	294.923431	-61.593803	524.331360
2221.846482	294.689667	-62.002937	522.987122
2221.849821	294.631226	-63.288719	522.227356
2221.853154	294.572754	-64.048515	521.759766
2221.856483	293.871429	-65.042091	521.350647
2221.859817	292.994751	-66.035652	521.058411
2221.863148	293.170074	-67.496788	519.947937
2221.866481	293.228516	-68.899483	519.597290
2221.869814	292.702515	-69.600822	518.779053
2221.873150	292.527161	-71.061958	518.311523
2221.876482	292.527161	-72.230858	517.785461
2221.879813	291.708954	-73.691994	516.967224
2221.883144	291.767395	-74.568672	515.856812
2221.886522	291.475159	-75.854485	515.389221
2221.889811	291.475159	-77.081825	514.629456
2221.893160	290.540039	-78.250725	513.811218
2221.897771	289.371124	-80.588554	512.350098
2221.900671	289.429565	-82.517235	511.765625
2221.904012	288.669800	-84.153709	511.531830
2221.907341	289.078918	-85.497963	510.129150
2221.910758	287.734650	-86.666862	509.194031
2221.914051	287.150208	-88.829353	507.732880
2221.917333	286.624207	-90.407372	506.622437
2221.920234	286.273529	-92.394508	505.628845
2221.923585	285.396851	-93.446526	504.401489
