crossing time (s)	slope (V/s)	crossing number
1940.978823	-132.977857	1093
1941.952286	-125.890510	1094
1943.002477	-123.461520	1095
1944.004819	-113.141406	1096
1945.067470	-104.166099	1097
1946.060038	-99.527583	1098
1947.098345	-92.731139	1099
1948.100922	-90.055016	1100
1949.152070	-81.537663	1101
1950.165442	-78.457538	1102
1951.194750	-71.991091	1103
1952.191727	-66.931427	1104
1953.256115	-62.203954	1105
1954.236184	-55.931529	1106
1955.321122	-51.696187	1107
1956.274997	-48.953357	1108
1957.365206	-45.482593	1109
1958.328864	-43.584603	1110
1959.408092	-39.890915	1111
1960.369159	-36.947124	1112
1961.459936	-33.184553	1113
1962.417807	-32.137802	1114
1963.495966	-29.443961	1115
1964.456267	-26.225156	1116
1965.567552	-25.774178	1117
1966.522386	-21.937382	1118
1967.613486	-19.307165	1119
1968.543514	-18.527045	1120
1969.673666	-17.764417	1121
1970.565488	-15.396377	1122
1971.712007	-15.528753	1123
1972.632732	-14.130051	1124
1973.780261	-12.347151	1125
1974.645708	-11.741375	1126
1975.827545	-9.427607	1127
1976.719798	-11.246876	1128
1977.872624	-9.345116	1129
1978.744607	-7.998139	1130
1979.948917	-7.577684	1131
