time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5257.723451	105.633682	1.642210	-0.083151	253
5259.762511	105.523666	1.622058	-0.081771	255
5261.802486	102.686127	1.543562	-0.100000	1
5263.842887	81.697769	1.443356	-0.100000	3
5265.883842	107.507713	1.513821	-0.100000	5
5267.924581	87.720795	1.421613	-0.100000	7
5269.965778	84.652794	1.401046	-0.100000	9
5272.007276	105.341911	1.517113	-0.076825	11
5274.048795	125.818268	1.361467	-0.100000	13
5276.089977	104.837738	1.476969	-0.100000	15
5278.130133	104.528336	1.465027	-0.100000	17
5280.169063	105.063530	1.457257	-0.071815	19
5282.207067	121.506432	1.315634	-0.100000	21
5284.245093	123.924393	1.295948	-0.100000	23
5286.283832	104.697815	1.402691	-0.069118	25
5288.323598	102.233414	1.316459	-0.100000	27
5290.364912	104.593933	1.366719	-0.067317	29
5292.406956	102.135361	1.286036	-0.100000	31
5294.449096	104.714111	1.331820	-0.100000	33
5296.490883	104.626144	1.314830	-0.100000	35
5298.531957	104.588593	1.304561	-0.062175	37
5300.572531	104.583649	1.289774	-0.061034	39
5302.613097	104.290863	1.270574	-0.100000	41
5304.653530	104.586075	1.259085	-0.058833	43
5306.693669	104.594048	1.241611	-0.057691	45
5308.733873	104.578278	1.226500	-0.056605	47
5310.773547	104.543213	1.213509	-0.055974	49
5312.812788	104.400253	1.200179	-0.055327	51
5314.851481	104.172073	1.187804	-0.054402	53
5316.889537	118.297081	1.225073	-0.100000	55
5318.927254	103.495041	1.159534	-0.052489	57
5320.965669	103.204788	1.141921	-0.051270	59
5323.005755	103.115005	1.123798	-0.049930	61
5325.046605	103.227806	1.108501	-0.048922	63
5327.088685	103.477570	1.093843	-0.047725	65
5329.131848	103.874046	1.076056	-0.100000	67
5331.174369	286.472290	-0.960615	0.100000	69
5333.216302	104.032669	1.052170	-0.045637	71
5335.257849	284.059052	-1.038812	0.045131	73
5337.298011	283.923676	-1.025930	0.044826	75
5339.337258	103.742668	1.015349	-0.044589	77
5341.376731	283.870117	-0.999299	0.100000	79
5343.416245	283.485321	-0.987180	0.043351	81
5345.455714	283.336182	-0.973748	0.042844	83
5347.495898	283.303802	-0.960519	0.042296	85
5349.536326	283.293976	-0.947968	0.042078	87
5351.577635	283.240295	-0.935725	0.041882	89
5353.619083	283.194397	-0.921890	0.041380	91
5355.660588	283.152496	-0.910305	0.040846	93
5357.701781	283.095917	-0.897702	0.040523	95
5359.742445	283.040375	-0.887770	0.040229	97
5361.781811	283.005615	-0.876645	0.039789	99
5363.820125	283.025635	-0.863416	0.039272	101
5365.857592	282.963959	-0.852265	0.039017	103
5367.895374	282.950409	-0.841106	0.038940	105
5369.933393	282.937744	-0.827528	0.038540	107
5371.972342	282.888245	-0.815206	0.038318	109
5374.011466	282.896301	-0.801453	0.038211	111
5376.053298	282.872345	-0.788491	0.037899	113
5378.095466	282.825104	-0.777061	0.037684	115
5380.138258	282.831757	-0.768669	0.037703	117
5382.181242	282.765320	-0.757037	0.037252	119
5384.223985	282.735840	-0.744981	0.036651	121
5386.266406	282.694763	-0.735016	0.036433	123
5388.307658	282.716309	-0.725858	0.036322	125
5390.349420	282.771057	-0.716560	0.036053	127
5392.389595	282.747589	-0.707169	0.035707	129
5394.430228	282.766479	-0.696951	0.035643	131
5396.470154	282.738037	-0.688272	0.035240	133
5398.509181	282.639282	-0.678700	0.034865	135
5400.546580	282.510864	-0.670187	0.034928	137
5402.585647	282.337982	-0.661819	0.034642	139
5404.622390	282.121643	-0.651986	0.034149	141
5406.660608	281.927643	-0.641867	0.033924	143
5408.699195	281.765198	-0.631945	0.033599	145
5410.739074	281.691925	-0.622231	0.033033	147
5412.780619	281.733643	-0.611923	0.032558	149
5414.822066	281.859741	-0.602852	0.032343	151
5416.866561	282.019379	-0.594768	0.031977	153
5418.909747	282.205536	-0.586156	0.031660	155
5420.954416	282.359009	-0.577373	0.031356	157
5422.997049	282.434296	-0.569417	0.031023	159
5425.039834	282.496521	-0.561767	0.030951	161
5427.081661	282.486115	-0.552414	0.030579	163
5429.122223	282.414673	-0.545007	0.030271	165
5431.161981	282.310913	-0.536379	0.030136	167
5433.202424	282.246552	-0.529089	0.029906	169
5435.242293	282.154114	-0.522315	0.029690	171
5437.282115	282.087006	-0.514535	0.029332	173
5439.322966	282.032501	-0.506126	0.028995	175
5441.363516	281.951324	-0.498044	0.028722	177
5443.405818	281.912140	-0.490615	0.028513	179
5445.445184	281.847900	-0.483990	0.028067	181
5447.485849	281.786194	-0.476469	0.027753	183
5449.525636	281.740082	-0.470503	0.027183	185
5451.563393	281.734863	-0.464444	0.026961	187
5453.601906	281.667328	-0.457511	0.026536	189
5455.639700	281.644257	-0.451085	0.026204	191
5457.674928	281.620911	-0.444174	0.025760	193
5459.711695	281.574371	-0.436642	0.025512	195
5461.747175	281.502533	-0.429480	0.025186	197
5463.786027	281.524994	-0.422438	0.024862	199
5465.823412	281.488495	-0.415707	0.024570	201
5467.862261	281.496216	-0.408166	0.024359	203
5469.903657	281.476959	-0.400349	0.024113	205
5471.944114	281.441071	-0.394986	0.023934	207
5473.987949	281.392731	-0.389393	0.023736	209
5476.030690	281.389832	-0.383641	0.023471	211
5478.073389	281.364838	-0.377789	0.023128	213
5480.116470	281.373688	-0.373484	0.022943	215
5482.157085	281.388855	-0.368407	0.022552	217
5484.201391	281.361786	-0.362953	0.022193	219
5486.240606	281.397949	-0.357325	0.021969	221
5488.280870	281.340851	-0.351807	0.021699	223
5490.320061	281.305847	-0.347454	0.021497	225
