time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1872.209838	251.062775	1.737720	-0.046431	221
1874.257104	251.405884	1.547768	-0.042544	223
1876.307421	251.973999	1.381472	-0.019670	225
1878.351267	251.419708	1.231562	-0.011331	227
1880.398682	250.927322	1.094576	-0.012829	229
1882.441370	250.435730	0.968913	-0.008895	231
1884.479042	250.380829	0.848061	-0.007790	233
1886.513502	251.251099	0.732074	-0.002001	235
1888.542606	252.020172	0.610266	-0.001735	237
1890.580196	251.834473	0.498207	-0.005691	239
1892.618105	251.006973	0.405259	-0.008061	241
1894.661847	250.015778	0.327981	-0.008584	243
