crossing time (s)	slope (V/s)	crossing number
2918.209172	144.164159	2066
2919.260477	144.121377	2067
2920.245885	153.087234	2068
2921.278192	146.988875	2069
2922.297651	149.286014	2070
2923.321466	143.714834	2071
2924.359145	145.676420	2072
2925.361799	143.947960	2073
2926.412633	142.723720	2074
2927.412427	144.077406	2075
2928.425741	141.058545	2076
2929.482754	141.992238	2077
2930.478475	142.489689	2078
2931.492584	135.792131	2079
2932.558321	134.406765	2080
2933.565069	130.317148	2081
2934.585514	130.531309	2082
2935.608349	128.424385	2083
2936.632623	122.813508	2084
2937.669211	122.898197	2085
2938.690933	122.439511	2086
2939.724036	118.166595	2087
2940.745487	117.900903	2088
2941.760555	114.256421	2089
2942.781435	114.422963	2090
2943.792756	108.353964	2091
2944.807624	103.292582	2092
2945.858274	98.550041	2093
2946.859554	94.636433	2094
2947.882482	91.643677	2095
2948.907801	89.956584	2096
2949.892402	81.854338	2097
2950.928246	80.470939	2098
2951.994251	74.956068	2099
2952.999912	73.330329	2100
2954.023286	71.664561	2101
2955.049052	66.539228	2102
2956.042558	64.037625	2103
2957.073975	63.155319	2104
2958.095424	58.622471	2105
2959.116958	58.549211	2106
2960.141622	55.688824	2107
2961.193742	52.038401	2108
2962.199811	50.340269	2109
2963.209086	49.712918	2110
2964.251558	45.781861	2111
2965.256406	44.618871	2112
2966.295038	43.561818	2113
2967.333251	41.101964	2114
2968.331788	38.070210	2115
2969.353891	37.788998	2116
2970.386737	35.364573	2117
2971.391027	32.044272	2118
2972.398384	32.929319	2119
2973.435627	30.556912	2120
2974.452936	28.574365	2121
2975.478686	30.073942	2122
2976.532327	27.381844	2123
2977.521463	26.017332	2124
2978.549354	25.907382	2125
2979.581536	23.949523	2126
2980.577395	22.723364	2127
2981.624327	21.493993	2128
2982.667111	25.445701	2129
2983.659926	20.018670	2130
2984.681497	18.105078	2131
2985.704892	18.922236	2132
2986.735034	16.812586	2133
2987.721993	15.604865	2134
2988.752338	14.500389	2135
2989.764738	14.744257	2136
2990.831059	12.276445	2137
2991.821946	12.819519	2138
2992.856321	12.816111	2139
2993.858576	11.228830	2140
2994.904766	11.682323	2141
2995.928397	10.180591	2142
2996.949748	10.211495	2143
2997.950032	9.996982	2144
2998.950821	8.401484	2145
3000.034155	7.835101	2146
3001.030158	7.788294	2147
3002.055898	7.650809	2148
3003.108688	6.750494	2149
3004.075636	6.944616	2150
3005.156147	5.504999	2151
3006.135888	6.423789	2152
3007.135868	6.316875	2153
3008.245281	4.760130	2154
