time (s)	magX	magY	magZ
6018.833412	374.993561	443.023407	196.102264
6018.836745	372.129761	445.185852	188.270569
6018.840081	370.142609	446.296326	179.796021
6018.843410	367.220337	447.173004	171.613647
6018.846748	364.239624	448.575684	163.080627
6018.850080	361.317352	449.978363	154.313843
6018.853412	357.869080	450.796631	145.371674
6018.856774	353.427246	451.205719	136.078888
6018.860079	348.868500	452.140839	125.792480
6018.863415	343.959106	451.907074	117.084167
6018.866741	339.575684	452.023956	106.856201
6018.870076	334.432495	451.556396	97.680267
6018.873405	329.289307	451.030396	88.329010
6018.876741	323.561676	449.919922	78.159546
6018.881425	311.814148	446.763885	58.755676
6018.884282	305.151367	444.835175	48.410828
6018.887594	298.371704	442.438934	37.832245
6018.890913	291.825836	439.575104	28.071869
6018.894270	284.637054	436.477478	18.369934
6018.897608	277.389832	431.509644	8.843384
6018.901013	270.317932	428.002930	-0.157227
6018.904324	263.129150	423.444183	-10.502075
6018.907167	255.998840	419.060791	-19.794861
6018.910504	248.868500	413.625366	-28.210999
6018.913829	241.329056	407.897736	-37.445374
6018.917161	234.198715	402.111633	-46.329102
6018.920501	226.250153	396.500885	-55.621887
6018.923844	219.645828	390.305695	-64.154846
6018.926735	212.340149	383.116882	-73.330811
6018.930073	205.443604	375.811218	-80.870239
6018.933403	198.722382	368.037994	-89.169495
6018.936733	191.475174	360.732300	-97.001160
6018.940069	185.046173	352.666870	-104.599060
6018.943397	178.324966	343.724731	-111.670959
6018.946733	171.486862	334.373474	-119.619507
6018.950068	164.356522	325.489777	-125.990051
6018.953404	157.752197	316.372284	-132.886597
6018.956732	151.440094	307.488586	-139.432495
6018.960066	144.718887	297.026886	-145.218628
6018.963400	137.530090	286.915833	-150.770935
6018.966733	131.744003	276.220337	-155.154358
6018.970067	124.321457	265.232605	-160.180603
6018.973403	118.184692	253.426636	-163.628906
6018.976732	111.229691	241.503815	-167.310974
6018.980060	105.268265	229.873169	-170.291687
6018.983399	97.845703	218.359436	-172.629456
6018.986732	91.358276	205.443024	-174.265930
6018.990059	84.578613	192.643478	-174.558167
6018.993396	77.389832	180.311523	-175.317993
6018.996728	70.727051	167.219757	-175.376404
6019.000059	64.005859	154.478668	-172.454163
6019.003454	57.518402	141.328461	-171.635925
6019.006729	50.037415	128.295135	-170.057861
6019.010062	43.316193	115.086494	-166.492737
6019.013397	37.530090	102.111626	-162.460022
6019.016726	31.919342	89.253647	-158.310364
6019.020063	26.483917	75.986557	-152.699646
6019.023393	20.931641	62.719460	-146.562805
6019.026733	16.139099	50.095261	-139.081848
6019.030084	11.521912	37.529510	-132.302185
6019.033391	7.956757	25.840443	-124.178284
6019.036721	4.391571	13.800701	-116.521973
6019.040937	-2.212738	-8.057869	-100.040344
6019.044307	-4.258331	-18.578026	-90.981323
6019.047677	-5.953247	-28.630623	-81.454712
6019.050920	-7.823486	-39.092346	-73.097046
6019.054254	-8.758606	-49.028061	-62.752197
6019.057148	-10.278198	-57.794853	-53.400940
6019.060484	-10.687317	-66.269432	-43.582092
6019.063809	-10.745758	-74.451790	-33.821716
6019.067144	-10.336639	-82.517235	-24.528931
6019.070503	-9.985962	-90.582710	-14.710083
6019.073857	-9.050842	-97.187035	-5.300415
6019.077164	-7.414398	-104.492699	3.875488
6019.080079	-5.953247	-111.330803	14.570984
6019.083386	-4.199890	-117.409126	24.214478
6019.086723	-2.797211	-123.370552	33.857941
6019.090051	-0.167145	-128.747528	43.618347
6019.093391	1.703094	-133.189362	54.781372
6019.096722	4.040924	-138.683228	64.658691
6019.100051	7.196960	-143.183533	75.237274
6019.103391	9.359436	-146.807129	85.056091
6019.106722	12.047943	-150.898285	94.991821
6019.110049	14.970184	-153.586792	105.453522
6019.113387	18.360016	-156.742859	117.084167
6019.116741	21.866760	-159.431335	128.364075
6019.120050	24.613678	-161.827606	138.299805
6019.123385	28.237305	-163.873169	150.105774
6019.126713	31.101105	-165.918762	161.151947
6019.130048	34.315613	-167.146118	172.022797
6019.133386	38.231445	-168.081238	183.419617
6019.136718	41.212158	-169.834595	193.121552
6019.140099	45.186462	-170.769714	204.693726
6019.143385	48.985382	-170.828186	215.389252
6019.146722	53.251923	-170.769714	226.084717
6019.150051	56.758636	-170.419067	236.663330
6019.153374	61.258911	-170.419067	247.475739
6019.156715	64.531860	-170.185272	257.995911
6019.160065	68.798370	-169.016357	268.165375
6019.163376	72.597321	-167.730591	277.458191
6019.166712	76.162476	-166.795441	287.627686
6019.170041	81.071869	-165.334320	296.336060
6019.173375	84.987732	-164.106964	305.161316
6019.176714	89.078918	-162.704254	313.986572
6019.180046	93.462311	-161.535370	321.701324
6019.183376	97.319702	-159.548218	330.351257
6019.186710	101.586197	-158.846863	337.540039
6019.190980	109.008774	-155.457062	351.859131
6019.194323	113.275299	-153.294586	358.697235
6019.197568	117.249557	-152.067230	364.249542
6019.200897	120.814728	-150.255402	370.386292
6019.204248	124.730560	-149.028046	376.172394
6019.207578	128.587967	-146.514893	381.900024
6019.210908	132.796021	-144.761536	386.634094
6019.213818	136.010529	-143.008209	392.303314
6019.217152	140.277039	-141.780853	397.621826
6019.220535	143.374634	-139.910583	401.713013
6019.223805	146.472244	-137.923431	406.096436
6019.227141	150.329636	-136.170074	410.772034
6019.230462	153.135010	-135.293396	415.272339
6019.233373	156.933960	-133.014008	419.480408
6019.236702	159.563995	-131.845123	422.753357
6019.240039	162.486267	-129.565735	427.078308
6019.243370	165.408524	-127.403267	430.935699
6019.246712	168.389252	-125.357689	434.267090
6019.250035	171.311508	-123.428993	438.650482
6019.253368	174.409119	-121.558739	441.689636
6019.256699	177.389832	-119.104042	446.365265
6019.260040	180.195221	-117.058449	448.878418
6019.263370	182.649918	-115.129753	452.326691
6019.266701	185.630615	-112.791939	456.593201
6019.270038	188.260666	-110.512566	459.164795
6019.273369	190.773819	-108.408531	461.444153
6019.276725	192.819412	-106.538277	464.892456
6019.280036	195.624786	-104.142021	468.399170
6019.283363	197.728821	-101.570427	472.081207
6019.286703	200.066635	-99.291054	474.535919
6019.290035	201.936874	-97.303917	478.276428
6019.293364	204.800705	-94.615440	480.614258
6019.296702	207.430740	-91.985390	483.478058
6019.300030	209.359451	-90.582710	486.049652
6019.303366	211.638809	-88.420219	488.095245
6019.306724	213.918182	-86.959084	490.257721
6019.310028	215.262421	-84.153709	492.537109
6019.313363	217.658676	-82.458809	494.758026
6019.316698	219.762711	-80.822334	496.803589
6019.320040	221.632965	-78.952080	499.433655
6019.323358	223.094086	-77.140266	501.245453
6019.326694	225.198120	-75.328468	502.940369
6019.330045	226.483932	-74.101112	504.401489
6019.333372	228.529510	-72.406197	506.037964
6019.336693	230.808884	-71.412636	506.505524
6019.340027	233.088257	-69.717720	508.901794
6019.343362	233.789612	-67.964348	509.661591
6019.347988	236.594971	-66.620110	512.057861
6019.350934	238.582123	-65.100533	512.642273
6019.354239	239.809479	-64.399178	513.051392
6019.357624	240.510803	-63.347176	514.103455
6019.360943	242.439514	-62.178261	514.863220
6019.364260	243.140854	-61.301582	515.622986
6019.367535	244.835770	-59.898888	516.324341
6019.370451	245.829346	-59.197548	517.084167
6019.373789	247.056686	-58.320869	517.785461
6019.377125	248.517822	-57.794853	518.194580
6019.380454	249.160721	-56.684395	518.194580
6019.383785	250.329636	-56.158394	519.012817
6019.387137	251.264771	-54.755699	519.714172
6019.390019	252.375214	-54.112801	520.064880
6019.393353	253.135010	-53.469902	521.467529
6019.396734	253.894806	-52.476334	522.461121
6019.400028	254.654587	-51.658089	523.104004
6019.403356	256.115723	-50.489189	524.097595
6019.406709	256.232605	-49.787842	525.324951
6019.410016	257.343079	-49.144943	526.201599
6019.413357	258.044434	-47.683807	526.260071
6019.416689	259.037994	-46.982468	526.727600
6019.420023	259.856232	-45.988907	528.305664
6019.423351	260.440674	-45.579781	530.000549
6019.426685	261.317352	-44.118652	530.585022
6019.430019	262.135590	-43.475746	530.701904
6019.433352	263.187622	-41.722389	531.461670
6019.436685	263.070740	-40.670372	532.046143
6019.440016	263.830505	-39.969025	532.630615
6019.443351	264.298065	-39.618362	533.857971
6019.446685	265.408539	-38.800117	534.325500
6019.450032	266.051422	-38.215675	533.916382
6019.453346	266.694336	-37.748108	534.208618
6019.456686	267.395691	-36.988319	535.085327
6019.460039	267.395691	-35.468735	535.552856
6019.463353	268.330811	-35.936295	535.903564
6019.466680	268.330811	-35.351845	535.786682
6019.470021	268.973694	-35.468735	536.838684
6019.473351	269.265930	-35.118065	536.897095
6019.476678	269.850372	-34.825836	537.247803
6019.480040	270.493286	-34.358276	537.306213
6019.483351	271.194641	-34.241386	537.130920
6019.486682	270.902405	-34.475166	536.663330
6019.490010	271.253052	-34.592056	536.487976
6019.493347	271.428406	-34.592056	536.195801
6019.496682	271.545288	-34.942734	536.897095
6019.501365	271.954407	-35.585625	535.903564
6019.504268	272.363525	-35.760963	535.494446
6019.507606	272.714203	-35.585625	535.552856
6019.510869	272.714203	-35.176514	535.961975
6019.514196	273.123322	-35.527184	535.319092
6019.517530	272.714203	-35.644073	535.494446
6019.520873	273.006439	-35.877861	535.435974
6019.523822	273.181763	-35.760963	535.202209
6019.527121	273.006439	-36.520752	534.968445
6019.530448	273.240204	-36.170074	535.669739
6019.533780	273.473999	-36.170074	535.552856
6019.537118	272.947998	-36.579201	535.611328
6019.540430	273.181763	-37.222099	535.143738
6019.543762	272.655762	-36.111641	535.669739
6019.546673	272.714203	-36.812981	536.195801
6019.550007	272.363525	-36.988319	535.377563
6019.553344	273.181763	-37.046768	534.617737
6019.556674	272.129761	-36.812981	534.793091
6019.560007	272.655762	-37.280548	535.669739
6019.563340	272.831116	-37.455879	535.260620
6019.566692	272.947998	-37.397430	535.552856
6019.570011	272.363525	-37.163651	535.611328
6019.573343	271.837524	-37.514328	535.026855
6019.576669	272.012878	-37.806541	535.494446
6019.580001	272.363525	-38.157227	535.611328
6019.583345	272.246643	-38.507889	535.903564
6019.586667	271.486847	-39.033897	534.851501
6019.590004	271.136169	-39.209236	535.435974
6019.593335	271.077728	-40.085922	535.435974
6019.596671	270.902405	-40.261253	535.845093
6019.600004	270.551727	-40.787270	534.676208
6019.603334	270.259521	-40.845703	534.442383
6019.606664	270.201050	-42.365288	533.507263
6019.610016	269.908813	-42.715950	533.624207
6019.613333	269.499695	-44.527771	532.689026
6019.616670	269.382812	-45.462891	532.396851
6019.619994	269.265930	-46.456467	532.221497
6019.623330	268.447693	-47.333145	531.987732
6019.626666	268.564575	-48.677383	531.052612
6019.629996	267.804810	-49.437172	529.708313
6019.633330	267.395691	-50.839867	528.948547
6019.636666	267.045013	-52.067223	527.838074
6019.640002	266.226776	-53.703682	527.370544
6019.643356	265.642334	-53.937477	525.617187
