time (s)	magX	magY	magZ
4222.490727	-89.578033	175.479843	77.164810
4222.494033	-91.448288	178.694336	81.139099
4222.497366	-93.493866	181.908829	84.178261
4222.500695	-95.948563	185.240219	87.568092
4222.504051	-97.117477	188.104034	91.425484
4222.507366	-99.046173	192.019882	95.165985
4222.510700	-100.565750	195.643478	98.497368
4222.514036	-102.552887	199.033325	103.523674
4222.517366	-104.890701	202.247818	106.971947
4222.522044	-108.222092	209.261261	114.920509
4222.524990	-110.793686	212.826431	120.472824
4222.528295	-112.897720	216.508469	125.382233
4222.531581	-115.293976	220.658096	130.057861
4222.534875	-117.164230	223.814148	135.259506
4222.538201	-118.976044	228.139099	140.753357
4222.541559	-121.196960	231.879608	146.714783
4222.544918	-122.658096	235.561676	152.617767
4222.547823	-124.820572	239.419067	158.988312
4222.551144	-126.983063	243.510239	164.832840
4222.554475	-128.502625	247.192291	171.378723
4222.557881	-130.489777	251.575684	178.567505
4222.561119	-131.424911	256.075989	186.165390
4222.564487	-133.353607	260.517822	193.646408
4222.567362	-134.931625	265.018127	200.718292
4222.570686	-136.743423	269.459961	209.426651
4222.574019	-138.204559	273.551147	217.901230
4222.577357	-139.841034	278.577423	226.142029
4222.580690	-141.009933	282.785492	235.084152
4222.584020	-142.587967	287.168915	244.084747
4222.587357	-143.756866	291.727661	254.488022
4222.590710	-145.159561	296.169495	264.482178
4222.594021	-145.510239	300.436005	275.820557
4222.597358	-146.796021	304.410309	286.340729
4222.600687	-147.672714	308.559906	298.263580
4222.604022	-148.549393	312.241974	309.426636
4222.607352	-149.133835	315.339569	322.576874
4222.610688	-150.068970	319.196960	334.908813
4222.614026	-151.354767	322.645233	347.474579
4222.617360	-151.763885	325.567505	362.319702
4222.620716	-151.763885	328.022217	375.586792
4222.624022	-152.582123	330.067810	390.431915
4222.627355	-152.815903	332.230255	405.744568
4222.630685	-152.640564	333.165405	422.401489
4222.634025	-153.517242	334.509644	437.538879
4222.637348	-153.575699	334.042084	453.436035
4222.640680	-153.049683	334.568085	468.748688
4222.644019	-152.582123	334.158966	487.743408
4222.647352	-151.939224	332.405640	503.348328
4222.650713	-150.478088	331.353607	519.946777
4222.654016	-149.718292	329.424896	537.714233
4222.657350	-147.497375	325.684387	555.072449
4222.660683	-146.386917	322.528351	572.781372
